MyKasihID,MonthlyLimitAmount,AmountUsed,ValidFrom,ValidUntil,Status,CustomerID
MK0001,100.00,0.00,2024-03-04,2025-03-04,EXPIRED,C0009
MK0002,100.00,0.00,2024-03-27,2027-03-27,ACTIVE,C0001
MK0003,100.00,0.00,2024-05-10,2027-05-10,ACTIVE,C0014
MK0004,100.00,0.00,2024-05-23,2027-05-23,ACTIVE,C0010
MK0005,100.00,0.00,2024-06-05,2025-06-05,EXPIRED,C0013
MK0006,100.00,0.00,2024-07-20,2026-07-20,ACTIVE,C0023
MK0007,100.00,0.00,2024-07-27,2026-07-27,ACTIVE,C0024
MK0008,100.00,0.00,2024-08-06,2026-08-06,ACTIVE,C0033
MK0009,100.00,0.00,2024-08-15,2025-08-15,EXPIRED,C0017
MK0010,100.00,0.00,2024-08-22,2026-08-22,ACTIVE,C0032
MK0011,100.00,0.00,2024-09-03,2026-09-03,ACTIVE,C0041
MK0012,100.00,0.00,2024-09-13,2025-09-13,EXPIRED,C0031
MK0013,100.00,0.00,2024-09-21,2026-09-21,ACTIVE,C0038
MK0014,100.00,0.00,2024-10-20,2026-10-20,ACTIVE,C0036
MK0015,100.00,0.00,2024-10-22,2026-10-22,ACTIVE,C0037
MK0016,100.00,0.00,2024-10-28,2026-10-28,ACTIVE,C0051
MK0017,100.00,0.00,2024-10-29,2025-10-29,EXPIRED,C0042
MK0018,100.00,0.00,2024-10-31,2026-10-31,ACTIVE,C0026
MK0019,100.00,0.00,2024-11-11,2026-11-11,ACTIVE,C0046
MK0020,100.00,0.00,2024-11-13,2026-11-13,ACTIVE,C0043
MK0021,100.00,0.00,2024-11-27,2026-11-27,ACTIVE,C0053
MK0022,100.00,0.00,2024-11-30,2025-11-30,EXPIRED,C0028
MK0023,100.00,0.00,2024-12-01,2026-12-01,ACTIVE,C0062
MK0024,100.00,0.00,2024-12-04,2026-12-04,SUSPENDED,C0054
MK0025,100.00,0.00,2024-12-04,2026-12-04,ACTIVE,C0063
