OrderID,ItemID,Quantity,UnitPrice,MyKasihSubsidyAmount,LineTotal
O00023,I0008,1,16.91,0.0,16.91
O00023,I0102,3,38.87,0.0,116.61
O00023,I0069,2,11.65,0.0,23.3
O00023,I0058,3,48.79,0.0,146.37
O00038,I0010,3,38.1,0.0,114.3
O00038,I0120,2,7.6,0.0,15.2
O00038,I0021,2,49.48,0.0,98.96
O00038,I0032,1,30.34,0.0,30.34
O00038,I0070,3,42.76,0.0,128.28
O00008,I0115,3,36.02,0.0,108.06
O00008,I0075,1,48.86,0.0,48.86
O00032,I0018,2,36.05,0.0,72.1
O00032,I0103,3,23.46,0.0,70.38
O00032,I0066,3,30.08,0.0,90.24
O00032,I0109,2,27.84,0.0,55.68
O00036,I0056,3,10.76,0.0,32.28
O00036,I0086,1,36.34,0.0,36.34
O00036,I0028,2,6.19,0.0,12.38
O00036,I0010,2,38.1,0.0,76.2
O00024,I0089,2,9.37,0.0,18.74
O00013,I0066,2,30.08,0.0,60.16
O00013,I0018,1,36.05,0.0,36.05
O00013,I0028,1,6.19,0.0,6.19
O00013,I0092,2,29.46,0.0,58.92
O00013,I0025,3,18.38,0.0,55.14
O00013,I0063,2,43.76,0.0,87.52
O00028,I0009,3,46.32,0.0,138.96
O00028,I0046,1,20.67,0.0,20.67
O00028,I0010,2,38.1,0.0,76.2
O00033,I0089,2,9.37,0.0,18.74
O00033,I0006,1,5.29,0.0,5.29
O00033,I0072,1,12.01,0.0,12.01
O00002,I0109,1,27.84,0.0,27.84
O00002,I0076,3,14.77,0.0,44.31
O00002,I0028,2,6.19,0.0,12.38
O00002,I0008,2,16.91,0.0,33.82
O00011,I0049,1,5.28,0.0,5.28
O00011,I0056,2,10.76,0.0,21.52
O00011,I0005,2,34.3,0.0,68.6
O00011,I0119,1,27.43,0.0,27.43
O00011,I0073,1,20.9,0.0,20.9
O00046,I0071,2,10.92,0.0,21.84
O00046,I0027,3,27.13,0.0,81.39
O00046,I0005,3,34.3,0.0,102.9
O00046,I0059,1,2.46,0.0,2.46
O00046,I0102,2,38.87,0.0,77.74
O00046,I0046,1,20.67,0.0,20.67
O00046,I0056,1,10.76,0.0,10.76
O00041,I0109,2,27.84,0.0,55.68
O00041,I0091,2,2.98,0.0,5.96
O00041,I0057,2,27.87,0.0,55.74
O00041,I0084,3,41.13,0.0,123.39
O00039,I0006,3,5.29,0.0,15.87
O00039,I0046,2,20.67,0.0,41.34
O00039,I0032,1,30.34,0.0,30.34
O00030,I0088,3,23.77,0.0,71.31
O00027,I0061,3,20.08,0.0,60.24
O00027,I0115,2,36.02,0.0,72.04
O00006,I0115,2,36.02,0.0,72.04
O00006,I0100,1,42.05,0.0,42.05
O00006,I0085,2,15.1,0.0,30.2
O00006,I0010,1,38.1,0.0,38.1
O00049,I0102,3,38.87,0.0,116.61
O00049,I0015,1,3.33,0.0,3.33
O00049,I0103,2,23.46,0.0,46.92
O00049,I0057,3,27.87,0.0,83.61
O00021,I0086,2,36.34,0.0,72.68
O00021,I0050,1,8.6,0.0,8.6
O00044,I0071,3,10.92,0.0,32.76
O00044,I0032,3,30.34,0.0,91.02
O00044,I0092,3,29.46,0.0,88.38
O00044,I0014,2,29.15,0.0,58.3
O00044,I0080,3,9.38,0.0,28.14
O00005,I0085,1,15.1,0.0,15.1
O00016,I0043,1,42.32,0.0,42.32
O00016,I0015,1,3.33,0.0,3.33
O00016,I0050,3,8.6,0.0,25.8
O00016,I0018,1,36.05,0.0,36.05
O00016,I0108,3,38.11,0.0,114.33
