CustomerID,TransactionDate,OrderID,TransactionType,Points,Balance
C0001,2024-01-01 19:58:42,O00038,EARN,387,387.0
C0001,2024-01-02 11:59:15,O00008,EARN,156,543.0
C0001,2024-01-02 15:44:07,O00032,EARN,288,831.0
C0001,2024-01-03 12:30:16,O00036,EARN,157,988.0
C0002,2024-01-03 16:54:37,O00024,EARN,18,18.0
C0002,2024-01-04 18:11:07,O00013,EARN,303,321.0
C0002,2024-01-04 18:25:06,O00028,EARN,235,556.0
C0001,2024-01-05 11:29:12,O00033,EARN,36,1024.0
C0001,2024-01-05 17:40:28,O00002,EARN,118,1142.0
C0002,2024-01-09 11:25:44,O00046,EARN,317,873.0
C0001,2024-01-09 20:13:11,O00041,EARN,240,1382.0
C0003,2024-01-11 19:36:05,O00039,EARN,87,87.0
C0001,2024-01-12 14:02:54,O00030,EARN,71,1453.0
C0003,2024-01-13 11:29:57,O00049,EARN,250,337.0
C0002,2024-01-13 19:57:56,O00021,EARN,81,954.0
C0002,2024-01-14 08:42:44,O00044,EARN,298,1252.0
C0003,2024-01-14 20:20:58,O00005,EARN,15,352.0
C0002,2024-01-18 19:05:06,O00016,EARN,221,1473.0
C0002,2024-01-19 13:27:42,O00034,EARN,197,1670.0
C0003,2024-01-19 19:28:12,O00009,EARN,91,443.0
C0002,2024-01-20 15:40:32,O00017,EARN,142,1812.0
C0004,2024-01-20 20:04:21,O00004,EARN,104,104.0
C0002,2024-01-21 13:06:22,O00043,EARN,127,1939.0
C0001,2024-01-21 13:45:46,O00026,EARN,31,1484.0
C0004,2024-01-23 09:11:25,O00010,EARN,132,236.0
C0004,2024-01-25 10:39:54,O00003,EARN,312,548.0
C0001,2024-01-25 14:49:42,O00051,EARN,216,1700.0
C0002,2024-01-25 15:28:17,O00015,EARN,156,2095.0
C0004,2024-01-26 09:20:49,O00020,EARN,298,846.0
C0004,2024-01-26 17:10:50,O00042,EARN,79,925.0
C0004,2024-01-27 12:24:41,O00047,EARN,57,982.0
C0003,2024-01-27 16:38:00,O00012,EARN,172,615.0
C0004,2024-01-27 18:32:41,O00018,EARN,134,1116.0
C0004,2024-01-28 09:33:22,O00031,EARN,130,1246.0
C0003,2024-01-28 10:10:42,O00037,EARN,233,848.0
C0004,2024-01-28 17:58:53,O00019,EARN,136,1382.0
C0002,2024-01-29 17:58:24,O00001,EARN,221,2316.0
C0004,2024-01-30 14:36:25,O00025,EARN,144,1526.0
C0003,2024-01-31 16:53:55,O00029,EARN,231,1079.0
C0004,2024-01-31 19:46:29,O00022,EARN,338,1864.0
C0006,2024-02-02 10:30:47,O00052,EARN,124,124.0
C0006,2024-02-02 10:37:10,O00055,EARN,126,250.0
C0005,2024-02-02 16:54:09,O00074,EARN,197,197.0
C0006,2024-02-02 18:46:09,O00113,EARN,83,333.0
C0006,2024-02-02 20:20:09,O00093,EARN,191,524.0
C0002,2024-02-03 10:11:30,O00094,EARN,176,2492.0
C0002,2024-02-03 13:22:14,O00105,EARN,158,2650.0
C0002,2024-02-04 10:33:59,O00106,EARN,253,2903.0
C0006,2024-02-05 10:25:33,O00062,EARN,290,814.0
C0002,2024-02-05 11:56:50,O00079,EARN,174,3077.0
C0004,2024-02-05 20:59:08,O00082,EARN,143,2007.0
C0008,2024-02-08 11:50:54,O00085,EARN,398,398.0
C0007,2024-02-09 16:56:17,O00097,EARN,91,91.0
C0006,2024-02-10 16:35:44,O00072,EARN,136,950.0
C0006,2024-02-10 16:43:36,O00107,EARN,84,1034.0
C0002,2024-02-11 20:18:22,O00078,EARN,104,3181.0
C0001,2024-02-11 20:37:28,O00095,EARN,112,1812.0
C0002,2024-02-12 16:35:26,O00060,EARN,50,3231.0
C0006,2024-02-13 19:35:29,O00069,EARN,314,1348.0
C0004,2024-02-15 09:12:06,O00067,EARN,80,2087.0
C0006,2024-02-16 13:03:35,O00099,EARN,57,1405.0
C0008,2024-02-17 15:14:16,O00089,EARN,222,620.0
C0007,2024-02-18 10:00:17,O00059,EARN,128,219.0
C0006,2024-02-18 11:40:06,O00056,EARN,9,1414.0
C0003,2024-02-18 15:21:34,O00080,EARN,134,1213.0
C0001,2024-02-19 08:07:14,O00104,EARN,268,2080.0
C0005,2024-02-21 12:32:22,O00057,EARN,106,303.0
C0008,2024-02-23 11:25:49,O00092,EARN,89,709.0
C0009,2024-02-23 19:23:09,O00086,EARN,58,58.0
C0007,2024-02-24 17:35:23,O00103,EARN,287,506.0
C0004,2024-02-25 16:10:36,O00058,EARN,239,2326.0
C0001,2024-02-25 16:57:44,O00102,EARN,171,2251.0
C0007,2024-02-25 20:03:03,O00091,EARN,192,698.0
C0007,2024-02-29 19:10:07,O00101,EARN,42,740.0
C0005,2024-03-02 10:32:17,O00138,EARN,182,485.0
C0010,2024-03-04 09:34:48,O00119,EARN,139,139.0
C0009,2024-03-05 10:33:15,O00117,EARN,213,271.0
C0009,2024-03-08 10:12:05,O00160,EARN,79,350.0
C0005,2024-03-08 10:13:12,O00145,EARN,37,522.0
C0004,2024-03-09 19:59:48,O00128,EARN,114,2440.0
C0010,2024-03-10 13:23:57,O00134,EARN,14,153.0
C0009,2024-03-11 10:45:48,O00164,EARN,179,529.0
C0005,2024-03-11 18:34:07,O00116,EARN,164,686.0
C0009,2024-03-12 10:09:49,O00157,EARN,36,565.0
C0006,2024-03-12 12:23:15,O00156,EARN,121,1535.0
C0007,2024-03-14 14:18:42,O00132,EARN,242,982.0
C0006,2024-03-18 08:34:59,O00129,REDEEM,-500.0,1035.0
C0006,2024-03-18 08:35:00,O00129,EARN,272,1307.0
C0003,2024-03-18 19:27:20,O00141,EARN,62,1275.0
C0008,2024-03-19 13:26:36,O00123,EARN,152,861.0
C0009,2024-03-22 11:07:05,O00151,EARN,167,732.0
C0009,2024-03-22 18:12:35,O00148,EARN,199,931.0
C0003,2024-03-24 14:16:12,O00143,EARN,76,1351.0
C0002,2024-03-25 11:11:52,O00140,EARN,291,3522.0
C0003,2024-03-26 14:32:10,O00133,EARN,124,1475.0
C0005,2024-03-29 12:22:44,O00136,EARN,307,993.0
C0010,2024-03-29 17:28:31,O00142,EARN,38,191.0
C0001,2024-03-30 12:12:23,O00115,EARN,34,2285.0
C0001,2024-03-30 20:59:45,O00158,EARN,52,2337.0
C0011,2024-03-31 12:14:45,O00118,EARN,78,78.0
C0002,2024-04-03 11:39:20,O00202,REDEEM,-500.0,3022.0
C0002,2024-04-03 11:39:21,O00202,EARN,150,3172.0
C0005,2024-04-04 12:56:15,O00167,EARN,87,1080.0
C0002,2024-04-04 14:27:30,O00208,EARN,138,3310.0
C0003,2024-04-04 20:23:46,O00171,EARN,87,1562.0
C0010,2024-04-05 08:23:45,O00195,EARN,146,337.0
C0009,2024-04-06 12:19:47,O00229,EARN,53,984.0
C0012,2024-04-06 12:31:46,O00217,EARN,285,285.0
C0001,2024-04-06 15:35:41,O00230,EARN,60,2397.0
C0011,2024-04-06 19:33:58,O00170,EARN,154,232.0
C0012,2024-04-08 10:26:46,O00222,EARN,286,571.0
C0006,2024-04-09 09:43:54,O00178,EARN,140,1447.0
C0009,2024-04-09 11:09:05,O00227,EARN,111,1095.0
C0001,2024-04-09 17:57:04,O00223,EARN,28,2425.0
C0004,2024-04-12 12:08:49,O00207,EARN,365,2805.0
C0007,2024-04-12 15:08:44,O00200,EARN,240,1222.0
C0002,2024-04-12 18:26:28,O00173,EARN,111,3421.0
C0013,2024-04-13 09:39:02,O00191,EARN,115,115.0
C0012,2024-04-13 17:02:46,O00196,EARN,253,824.0
C0001,2024-04-14 16:32:10,O00188,EARN,63,2488.0
C0003,2024-04-14 19:07:41,O00204,EARN,172,1734.0
C0013,2024-04-15 18:21:00,O00198,EARN,244,359.0
C0005,2024-04-15 18:49:45,O00218,EARN,285,1365.0
C0006,2024-04-16 14:52:20,O00189,EARN,155,1602.0
C0008,2024-04-16 18:17:18,O00194,EARN,182,1043.0
C0004,2024-04-17 10:36:35,O00174,EARN,70,2875.0
C0012,2024-04-18 17:18:37,O00177,EARN,172,996.0
C0014,2024-04-19 13:55:16,O00190,EARN,36,36.0
C0005,2024-04-19 16:23:22,O00186,REDEEM,-500.0,865.0
C0005,2024-04-19 16:23:23,O00186,EARN,69,934.0
C0010,2024-04-20 10:45:00,O00169,EARN,309,646.0
C0010,2024-04-20 19:36:32,O00201,EARN,259,905.0
C0004,2024-04-21 14:43:58,O00181,EARN,324,3199.0
C0005,2024-04-23 12:37:10,O00214,EARN,325,1259.0
C0012,2024-04-25 15:10:58,O00182,EARN,160,1156.0
C0010,2024-04-25 17:33:57,O00184,EARN,71,976.0
C0012,2024-04-25 18:11:26,O00172,EARN,199,1355.0
C0010,2024-04-25 18:26:44,O00185,EARN,101,1077.0
C0016,2024-04-26 17:37:35,O00220,EARN,169,169.0
C0009,2024-04-27 10:02:28,O00175,EARN,148,1243.0
C0001,2024-04-28 20:49:46,O00193,EARN,127,2615.0
C0006,2024-04-29 14:54:57,O00187,EARN,57,1659.0
C0003,2024-05-02 10:54:28,O00274,EARN,81,1815.0
C0016,2024-05-02 15:11:31,O00241,EARN,18,187.0
C0018,2024-05-02 18:27:14,O00254,EARN,91,91.0
C0001,2024-05-03 11:37:11,O00234,REDEEM,-500.0,2115.0
C0001,2024-05-03 11:37:12,O00234,EARN,126,2241.0
C0004,2024-05-03 12:09:37,O00244,EARN,143,3342.0
C0017,2024-05-04 15:47:44,O00257,EARN,212,212.0
C0003,2024-05-04 16:13:57,O00240,EARN,364,2179.0
C0016,2024-05-04 18:37:36,O00259,EARN,218,405.0
C0009,2024-05-07 17:12:29,O00272,EARN,37,1280.0
C0011,2024-05-11 11:27:56,O00250,EARN,136,368.0
C0001,2024-05-11 13:12:43,O00247,EARN,275,2516.0
C0012,2024-05-12 19:29:54,O00280,EARN,77,1432.0
C0016,2024-05-14 09:05:49,O00255,EARN,6,411.0
C0011,2024-05-14 14:38:20,O00278,EARN,43,411.0
C0019,2024-05-15 11:58:49,O00243,EARN,139,139.0
C0017,2024-05-15 14:05:18,O00265,EARN,184,396.0
C0002,2024-05-15 19:37:24,O00266,EARN,127,3548.0
C0002,2024-05-15 19:38:28,O00276,EARN,36,3584.0
C0016,2024-05-16 17:52:37,O00251,EARN,270,681.0
C0021,2024-05-17 17:43:33,O00233,EARN,213,213.0
C0013,2024-05-19 11:10:04,O00248,EARN,159,518.0
C0017,2024-05-19 18:35:55,O00281,EARN,149,545.0
C0015,2024-05-20 08:28:33,O00260,EARN,355,355.0
C0021,2024-05-21 13:41:06,O00261,EARN,67,280.0
C0007,2024-05-21 17:01:18,O00236,EARN,303,1525.0
C0004,2024-05-22 12:15:40,O00239,EARN,172,3514.0
C0002,2024-05-22 17:09:15,O00258,EARN,40,3624.0
C0001,2024-05-25 17:51:39,O00256,EARN,270,2786.0
C0022,2024-05-26 11:56:16,O00238,EARN,216,216.0
C0013,2024-05-26 19:31:13,O00245,EARN,53,571.0
C0017,2024-05-28 10:01:20,O00277,EARN,81,626.0
C0013,2024-05-31 11:37:30,O00273,EARN,127,698.0
C0013,2024-05-31 15:49:35,O00246,EARN,54,752.0
C0015,2024-06-01 13:13:48,O00339,EARN,147,502.0
C0003,2024-06-02 13:47:10,O00330,EARN,398,2577.0
C0009,2024-06-02 18:58:30,O00291,EARN,145,1425.0
C0010,2024-06-03 08:16:05,O00310,EARN,10,1087.0
C0008,2024-06-03 11:00:23,O00328,EARN,246,1289.0
C0013,2024-06-03 11:10:48,O00297,EARN,196,948.0
C0007,2024-06-03 12:17:11,O00306,EARN,376,1901.0
C0023,2024-06-04 08:10:24,O00304,EARN,266,266.0
C0017,2024-06-04 09:22:23,O00331,EARN,150,776.0
C0010,2024-06-07 13:08:28,O00294,EARN,95,1182.0
C0019,2024-06-08 15:31:34,O00300,EARN,81,220.0
C0024,2024-06-08 19:37:06,O00305,EARN,149,149.0
C0008,2024-06-09 13:47:46,O00313,REDEEM,-200.0,1089.0
C0008,2024-06-09 13:47:47,O00313,EARN,140,1229.0
C0019,2024-06-09 19:20:42,O00322,REDEEM,-200.0,20.0
C0019,2024-06-09 19:20:43,O00322,EARN,408,428.0
C0017,2024-06-10 08:37:41,O00335,EARN,22,798.0
C0026,2024-06-10 12:51:41,O00314,EARN,258,258.0
C0016,2024-06-10 13:38:37,O00312,REDEEM,-500.0,181.0
C0016,2024-06-10 13:38:38,O00312,EARN,119,300.0
C0002,2024-06-13 11:43:01,O00303,EARN,136,3760.0
C0012,2024-06-13 12:26:56,O00295,REDEEM,-200.0,1232.0
C0012,2024-06-13 12:26:57,O00295,EARN,323,1555.0
C0026,2024-06-15 19:03:27,O00317,EARN,333,591.0
C0008,2024-06-16 08:40:06,O00327,EARN,136,1365.0
C0010,2024-06-16 16:18:13,O00334,EARN,62,1244.0
C0006,2024-06-18 13:30:52,O00337,EARN,94,1753.0
C0019,2024-06-19 15:58:03,O00292,REDEEM,-200.0,228.0
C0019,2024-06-19 15:58:04,O00292,EARN,76,304.0
C0020,2024-06-20 13:52:25,O00323,EARN,61,61.0
C0019,2024-06-20 14:04:44,O00311,EARN,252,556.0
C0027,2024-06-22 20:14:22,O00332,EARN,107,107.0
C0013,2024-06-23 19:06:08,O00301,EARN,212,1160.0
C0016,2024-06-25 14:06:52,O00288,EARN,94,394.0
C0029,2024-06-26 08:01:14,O00302,EARN,139,139.0
C0027,2024-06-26 14:37:56,O00338,EARN,67,174.0
C0020,2024-06-27 09:19:56,O00315,EARN,80,141.0
C0020,2024-06-28 11:52:21,O00329,EARN,214,355.0
C0017,2024-06-28 12:50:53,O00320,EARN,182,980.0
