DeliveryCompanyID,PerformanceProfile,BaseFee,DistanceFeeRule,ExpectedDuration,FailureProbability,ActiveFrom,InactiveDate
DC001,Premium & Reliable,10.0,RM 1.00 per km,1,0.01,2023-04-10,
DC002,Premium & Reliable,10.0,RM 1.00 per km,1,0.01,2023-03-15,
DC003,Average,6.0,RM 0.80 per km,2,0.05,2023-12-04,
DC004,Average,6.0,RM 0.80 per km,2,0.05,2023-04-14,
DC005,Average,6.0,RM 0.80 per km,2,0.05,2023-11-13,
DC006,Average,6.0,RM 0.80 per km,2,0.05,2023-04-16,
DC007,Lower-cost & Slower,4.0,RM 0.50 per km,4,0.08,2023-04-06,
DC008,Lower-cost & Slower,4.0,RM 0.50 per km,4,0.08,2023-11-20,
DC009,High Failure Rate,5.0,RM 0.70 per km,3,0.25,2023-02-13,2024-11-10
DC010,Historical,5.0,RM 0.60 per km,3,0.1,2022-01-01,2025-02-20
