DeliveryCompanyID,PerformanceProfile,TotalDeliveries,AvgDurationDays,OnTimeRate,FailureRate,AvgFeedbackScore
DC006,Average,33,1.43,1.0,0.0,3.99
DC005,Average,40,1.59,1.0,0.0,4.05
DC002,Premium & Reliable,68,1.13,0.985,0.0,4.56
DC003,Average,39,1.73,1.0,0.0,3.97
DC008,Lower-cost & Slower,30,4.73,1.0,0.0,3.16
DC010,Historical,6,1.89,1.0,0.0,3.38
DC001,Premium & Reliable,62,1.2,0.984,0.0,4.59
DC007,Lower-cost & Slower,33,4.71,1.0,0.0,3.29
DC004,Average,55,1.76,0.982,0.0,4.01
DC009,High Failure Rate,4,3.5,1.0,0.0,2.73
