ItemID,DemandProfile
I0001,FAST_MOVING
I0002,FAST_MOVING
I0003,FAST_MOVING
I0004,FAST_MOVING
I0005,FAST_MOVING
I0006,FAST_MOVING
I0007,FAST_MOVING
I0008,FAST_MOVING
I0009,FAST_MOVING
I0010,FAST_MOVING
I0011,FAST_MOVING
I0012,FAST_MOVING
I0013,FAST_MOVING
I0014,FAST_MOVING
I0015,FAST_MOVING
I0016,FAST_MOVING
I0017,FAST_MOVING
I0018,FAST_MOVING
I0019,FAST_MOVING
I0020,FAST_MOVING
I0021,FAST_MOVING
I0022,FAST_MOVING
I0023,FAST_MOVING
I0024,FAST_MOVING
I0025,MEDIUM_MOVING
I0026,MEDIUM_MOVING
I0027,MEDIUM_MOVING
I0028,MEDIUM_MOVING
I0029,MEDIUM_MOVING
I0030,MEDIUM_MOVING
I0031,MEDIUM_MOVING
I0032,MEDIUM_MOVING
I0033,MEDIUM_MOVING
I0034,MEDIUM_MOVING
I0035,SEASONAL
I0036,SEASONAL
I0037,SEASONAL
I0038,SEASONAL
I0039,SEASONAL
I0040,SEASONAL
I0041,SEASONAL
I0042,SEASONAL
I0043,SEASONAL
I0044,SEASONAL
I0045,SEASONAL
I0046,SEASONAL
I0047,SEASONAL
I0048,SEASONAL
I0049,SEASONAL
I0050,SEASONAL
I0051,SEASONAL
I0052,SEASONAL
I0053,MEDIUM_MOVING
I0054,MEDIUM_MOVING
I0055,MEDIUM_MOVING
I0056,MEDIUM_MOVING
I0057,MEDIUM_MOVING
I0058,MEDIUM_MOVING
I0059,MEDIUM_MOVING
I0060,MEDIUM_MOVING
I0061,MEDIUM_MOVING
I0062,MEDIUM_MOVING
I0063,SLOW_MOVING
I0064,SLOW_MOVING
I0065,SLOW_MOVING
I0066,SLOW_MOVING
I0067,SLOW_MOVING
I0068,SLOW_MOVING
I0069,SLOW_MOVING
I0070,SLOW_MOVING
I0071,FAST_MOVING
I0072,FAST_MOVING
I0073,FAST_MOVING
I0074,FAST_MOVING
I0075,FAST_MOVING
I0076,FAST_MOVING
I0077,FAST_MOVING
I0078,FAST_MOVING
I0079,FAST_MOVING
I0080,FAST_MOVING
I0081,MEDIUM_MOVING
I0082,MEDIUM_MOVING
I0083,MEDIUM_MOVING
I0084,MEDIUM_MOVING
I0085,MEDIUM_MOVING
I0086,MEDIUM_MOVING
I0087,MEDIUM_MOVING
I0088,MEDIUM_MOVING
I0089,MEDIUM_MOVING
I0090,MEDIUM_MOVING
I0091,MEDIUM_MOVING
I0092,MEDIUM_MOVING
I0093,MEDIUM_MOVING
I0094,MEDIUM_MOVING
I0095,MEDIUM_MOVING
I0096,MEDIUM_MOVING
I0097,FAST_MOVING
I0098,FAST_MOVING
I0099,FAST_MOVING
I0100,FAST_MOVING
I0101,FAST_MOVING
I0102,FAST_MOVING
I0103,FAST_MOVING
I0104,FAST_MOVING
I0105,SLOW_MOVING
I0106,SLOW_MOVING
I0107,SLOW_MOVING
I0108,SLOW_MOVING
I0109,SLOW_MOVING
I0110,SLOW_MOVING
I0111,SEASONAL
I0112,SEASONAL
I0113,SEASONAL
I0114,SEASONAL
I0115,SLOW_MOVING
I0116,SLOW_MOVING
I0117,MEDIUM_MOVING
I0118,MEDIUM_MOVING
I0119,SLOW_MOVING
I0120,SLOW_MOVING
