ItemID,IntroductionDate,DiscontinuationDate,Status
I0001,2024-01-01,,ACTIVE
I0002,2024-01-01,,ACTIVE
I0003,2024-01-01,,ACTIVE
I0004,2024-01-01,,ACTIVE
I0005,2026-03-17,2026-06-09,INACTIVE
I0006,2024-08-02,,ACTIVE
I0007,2024-07-20,,ACTIVE
I0008,2026-05-13,,ACTIVE
I0009,2026-04-19,,ACTIVE
I0010,2024-10-23,,ACTIVE
I0011,2026-05-16,,ACTIVE
I0012,2025-12-07,,ACTIVE
I0013,2024-01-01,,ACTIVE
I0014,2024-01-01,,ACTIVE
I0015,2024-01-01,,ACTIVE
I0016,2024-01-01,,ACTIVE
I0017,2024-11-30,,ACTIVE
I0018,2025-05-16,,ACTIVE
I0019,2024-08-16,2025-06-07,INACTIVE
I0020,2024-09-15,,ACTIVE
I0021,2026-06-11,,ACTIVE
I0022,2026-05-11,,ACTIVE
I0023,2025-04-17,,ACTIVE
I0024,2025-12-03,,ACTIVE
I0025,2024-01-01,,ACTIVE
I0026,2024-01-01,,ACTIVE
I0027,2024-01-01,,ACTIVE
I0028,2024-01-01,,ACTIVE
I0029,2025-12-21,,ACTIVE
I0030,2026-04-22,,ACTIVE
I0031,2025-01-09,,ACTIVE
I0032,2026-01-14,2026-02-03,INACTIVE
I0033,2025-04-30,,ACTIVE
I0034,2026-05-03,,ACTIVE
I0035,2024-01-01,,ACTIVE
I0036,2024-01-01,,ACTIVE
I0037,2024-01-01,,ACTIVE
I0038,2024-01-01,,ACTIVE
I0039,2024-10-10,,ACTIVE
I0040,2024-07-08,,ACTIVE
I0041,2025-09-09,,ACTIVE
I0042,2025-03-06,,ACTIVE
I0043,2025-01-13,,ACTIVE
I0044,2025-08-05,,ACTIVE
I0045,2026-05-04,,ACTIVE
I0046,2024-08-03,,ACTIVE
I0047,2024-07-04,,ACTIVE
I0048,2024-12-06,,ACTIVE
I0049,2024-09-09,,ACTIVE
I0050,2025-06-06,,ACTIVE
I0051,2025-01-30,,ACTIVE
I0052,2025-11-12,2025-11-24,INACTIVE
I0053,2024-01-01,2024-08-08,INACTIVE
I0054,2024-01-01,,ACTIVE
I0055,2024-01-01,,ACTIVE
I0056,2024-01-01,,ACTIVE
I0057,2026-02-17,,ACTIVE
I0058,2025-11-26,,ACTIVE
I0059,2025-11-16,,ACTIVE
I0060,2024-12-31,,ACTIVE
I0061,2026-06-04,,ACTIVE
I0062,2025-09-01,,ACTIVE
I0063,2025-10-03,,ACTIVE
I0064,2024-07-04,2025-10-25,INACTIVE
I0065,2025-09-25,,ACTIVE
I0066,2026-03-22,,ACTIVE
I0067,2025-04-10,,ACTIVE
I0068,2025-01-01,,ACTIVE
I0069,2026-06-12,,ACTIVE
I0070,2024-12-15,,ACTIVE
I0071,2024-01-01,,ACTIVE
I0072,2024-01-01,,ACTIVE
I0073,2024-01-01,,ACTIVE
I0074,2024-01-01,,ACTIVE
I0075,2026-01-18,2026-04-15,INACTIVE
I0076,2024-09-09,,ACTIVE
I0077,2025-01-04,,ACTIVE
I0078,2025-08-11,,ACTIVE
I0079,2026-05-07,,ACTIVE
I0080,2026-05-29,,ACTIVE
I0081,2026-06-13,,ACTIVE
I0082,2025-03-29,2025-10-31,INACTIVE
I0083,2025-10-19,,ACTIVE
I0084,2024-09-15,,ACTIVE
I0085,2025-12-15,,ACTIVE
I0086,2026-03-29,,ACTIVE
I0087,2024-10-29,,ACTIVE
I0088,2025-05-22,,ACTIVE
I0089,2024-01-01,,ACTIVE
I0090,2024-01-01,,ACTIVE
I0091,2024-01-01,,ACTIVE
I0092,2024-01-01,,ACTIVE
I0093,2025-12-04,,ACTIVE
I0094,2026-02-20,,ACTIVE
I0095,2025-01-17,,ACTIVE
I0096,2025-12-15,,ACTIVE
I0097,2024-01-01,,ACTIVE
I0098,2024-01-01,2025-05-26,INACTIVE
I0099,2024-01-01,,ACTIVE
I0100,2024-01-01,,ACTIVE
I0101,2024-09-12,,ACTIVE
I0102,2025-06-28,,ACTIVE
I0103,2024-10-10,,ACTIVE
I0104,2025-04-28,2026-05-25,INACTIVE
I0105,2025-09-17,,ACTIVE
I0106,2025-09-06,,ACTIVE
I0107,2025-10-17,,ACTIVE
I0108,2024-11-03,2026-02-18,INACTIVE
I0109,2025-07-14,2026-01-31,INACTIVE
I0110,2025-06-17,,ACTIVE
I0111,2025-07-22,,ACTIVE
I0112,2025-04-02,,ACTIVE
I0113,2025-05-05,,ACTIVE
I0114,2025-01-04,,ACTIVE
I0115,2024-10-21,,ACTIVE
I0116,2025-10-19,,ACTIVE
I0117,2026-03-27,,ACTIVE
I0118,2024-09-09,,ACTIVE
I0119,2025-08-07,,ACTIVE
I0120,2025-09-07,,ACTIVE
