ItemID,ItemName,UnitPrice,UnitMeasure,Description,IsHalal,IsMyKasihEligible,Status,CategoryID,IntroductionDate,DiscontinuationDate,DemandProfile
I0001,Beras Super 5kg,13.6,PCS,Beras Super 5kg - Rice and Grains,Y,N,ACTIVE,PC001,2024-01-01,,FAST_MOVING
I0002,Beras Wangi 10kg,16.3,BAG,Beras Wangi 10kg - Rice and Grains,Y,N,ACTIVE,PC001,2024-01-01,,FAST_MOVING
I0003,Tepung Gandum 1kg,2.8,PACK,Tepung Gandum 1kg - Rice and Grains,Y,N,ACTIVE,PC001,2024-01-01,,FAST_MOVING
I0004,Tepung Beras 500g,2.2,BOX,Tepung Beras 500g - Rice and Grains,Y,N,ACTIVE,PC001,2024-01-01,,FAST_MOVING
I0005,Beras Pulut 1kg,4.2,PACK,Beras Pulut 1kg - Rice and Grains,Y,N,INACTIVE,PC001,2026-03-17,2026-06-09 00:00:00,FAST_MOVING
I0006,Oatmeal 1kg,4.6,PCS,Oatmeal 1kg - Rice and Grains,Y,N,ACTIVE,PC001,2024-08-02,,FAST_MOVING
I0007,Quinoa 500g,2.1,BAG,Quinoa 500g - Rice and Grains,Y,Y,ACTIVE,PC001,2024-07-20,,FAST_MOVING
I0008,Beras Basmathi 5kg,13.0,PCS,Beras Basmathi 5kg - Rice and Grains,Y,Y,ACTIVE,PC001,2026-05-13,,FAST_MOVING
I0009,Tepung Jagung 500g,2.1,BAG,Tepung Jagung 500g - Rice and Grains,Y,Y,ACTIVE,PC001,2026-04-19,,FAST_MOVING
I0010,Bijirin Sarapan 500g,2.4,PACK,Bijirin Sarapan 500g - Rice and Grains,Y,Y,ACTIVE,PC001,2024-10-23,,FAST_MOVING
I0011,Beras Perang 1kg,3.3,PACK,Beras Perang 1kg - Rice and Grains,Y,N,ACTIVE,PC001,2026-05-16,,FAST_MOVING
I0012,Tepung Ubi 500g,2.1,PCS,Tepung Ubi 500g - Rice and Grains,Y,N,ACTIVE,PC001,2025-12-07,,FAST_MOVING
I0013,Minyak Masak 1kg,4.3,PCS,Minyak Masak 1kg - Cooking Essentials,Y,Y,ACTIVE,PC002,2024-01-01,,FAST_MOVING
I0014,Minyak Zaitun 500ml,2.3,PCS,Minyak Zaitun 500ml - Cooking Essentials,Y,N,ACTIVE,PC002,2024-01-01,,FAST_MOVING
I0015,Kicap Manis 600ml,2.2,BOX,Kicap Manis 600ml - Cooking Essentials,Y,Y,ACTIVE,PC002,2024-01-01,,FAST_MOVING
I0016,Kicap Masin 600ml,2.9,BOX,Kicap Masin 600ml - Cooking Essentials,Y,Y,ACTIVE,PC002,2024-01-01,,FAST_MOVING
I0017,Sos Cili 400ml,2.3,BOX,Sos Cili 400ml - Cooking Essentials,Y,N,ACTIVE,PC002,2024-11-30,,FAST_MOVING
I0018,Sos Tomato 400ml,2.2,PCS,Sos Tomato 400ml - Cooking Essentials,Y,N,ACTIVE,PC002,2025-05-16,,FAST_MOVING
I0019,Cuka 500ml,2.5,PCS,Cuka 500ml - Cooking Essentials,Y,N,INACTIVE,PC002,2024-08-16,2025-06-07 00:00:00,FAST_MOVING
I0020,Madu 250g,2.3,BAG,Madu 250g - Cooking Essentials,Y,N,ACTIVE,PC002,2024-09-15,,FAST_MOVING
I0021,Minyak Bijian 200ml,2.0,PCS,Minyak Bijian 200ml - Cooking Essentials,Y,Y,ACTIVE,PC002,2026-06-11,,FAST_MOVING
I0022,Sos Tiram 300ml,2.1,PCS,Sos Tiram 300ml - Cooking Essentials,Y,N,ACTIVE,PC002,2026-05-11,,FAST_MOVING
I0023,Tepung Jagung 200g,2.1,BAG,Tepung Jagung 200g - Cooking Essentials,Y,N,ACTIVE,PC002,2025-04-17,,FAST_MOVING
I0024,Serbuk Perasa 100g,2.1,PCS,Serbuk Perasa 100g - Cooking Essentials,Y,N,ACTIVE,PC002,2025-12-03,,FAST_MOVING
I0025,Sardin 425g,4.5,BAG,Sardin 425g - Canned and Packaged Food,Y,N,ACTIVE,PC003,2024-01-01,,MEDIUM_MOVING
I0026,Tuna Chunk 185g,2.8,PACK,Tuna Chunk 185g - Canned and Packaged Food,Y,Y,ACTIVE,PC003,2024-01-01,,MEDIUM_MOVING
I0027,Kacang Hancur 425g,5.6,PCS,Kacang Hancur 425g - Canned and Packaged Food,Y,Y,ACTIVE,PC003,2024-01-01,,MEDIUM_MOVING
