OrderID,ItemID,Quantity,UnitPrice,MyKasihSubsidyAmount,LineTotal
O00001,I0007,1,1.77,0.00,1.77
O00001,I0011,4,2.77,0.00,11.08
O00001,I0068,1,4.38,0.00,4.38
O00002,I0045,1,3.33,0.00,3.33
O00002,I0058,2,1.68,0.00,3.36
O00002,I0076,3,1.28,0.00,3.84
O00003,I0065,1,4.65,0.00,4.65
O00003,I0107,1,6.85,0.00,6.85
O00004,I0034,1,4.26,0.00,4.26
O00004,I0060,3,5.27,0.00,15.81
O00004,I0081,4,5.19,0.00,20.76
O00004,I0082,1,2.58,0.00,2.58
O00004,I0097,2,10.53,0.00,21.06
O00005,I0011,1,2.78,0.00,2.78
O00005,I0030,3,4.00,0.00,12.00
O00005,I0077,2,1.42,0.00,2.84
O00005,I0116,4,42.79,0.00,171.16
O00006,I0002,3,13.65,0.00,40.95
O00006,I0071,1,1.28,0.00,1.28
O00007,I0011,1,2.79,0.00,2.79
O00007,I0024,2,1.78,0.00,3.56
O00007,I0045,2,3.35,0.00,6.70
O00008,I0043,1,1.41,0.00,1.41
O00008,I0097,1,10.51,0.00,10.51
O00008,I0118,2,13.45,0.00,26.90
O00009,I0011,3,2.79,0.00,8.37
O00009,I0018,3,1.85,0.00,5.55
O00009,I0032,4,3.99,0.00,15.96
O00010,I0071,2,1.26,0.00,2.52
O00010,I0103,4,4.33,0.00,17.32
O00010,I0109,1,7.00,0.00,7.00
O00011,I0005,1,3.56,0.00,3.56
O00011,I0021,2,1.68,0.00,3.36
O00011,I0037,5,1.25,0.00,6.25
O00011,I0073,2,1.52,0.00,3.04
O00012,I0055,1,1.75,0.00,1.75
O00012,I0072,1,1.36,0.00,1.36
O00012,I0083,2,2.59,0.00,5.18
O00012,I0088,3,2.59,0.00,7.77
O00013,I0067,4,3.62,0.00,14.48
O00013,I0083,1,2.62,0.00,2.62
O00014,I0005,3,3.48,0.00,10.44
O00014,I0116,1,42.92,0.00,42.92
O00015,I0004,1,1.84,0.00,1.84
O00015,I0016,1,2.45,0.00,2.45
O00015,I0075,1,1.33,0.00,1.33
O00015,I0102,3,4.32,0.00,12.96
O00016,I0004,4,1.86,0.00,7.44
O00016,I0009,1,1.77,0.00,1.77
O00016,I0065,1,4.75,0.00,4.75
O00016,I0079,2,3.75,0.00,7.50
