OrderID,FullfillmentType,OrderDateTime,OrderStatus,SubtotalAmount,VoucherDiscountAmount,MyKasihSubsidyTotal,GrandTotal,BranchID,VoucherID
O00001,DELIVERY,2020-01-01 09:00:00,COMPLETED,17.23,0.00,0.00,22.13,B001,NULL
O00002,WALK_IN,2020-01-01 09:30:29,COMPLETED,10.53,0.00,0.00,10.53,B001,NULL
O00003,WALK_IN,2020-01-01 10:19:00,COMPLETED,11.50,0.00,0.00,11.50,B001,NULL
O00004,PICKUP,2020-01-01 11:24:30,COMPLETED,64.47,8.00,0.00,56.47,B001,V001
O00005,WALK_IN,2020-01-01 11:27:18,COMPLETED,188.78,0.00,0.00,188.78,B001,NULL
O00006,PICKUP,2020-01-01 12:05:19,COMPLETED,42.23,0.00,0.00,42.23,B001,NULL
O00007,PICKUP,2020-01-01 12:24:46,COMPLETED,13.05,0.00,0.00,13.05,B001,NULL
O00008,WALK_IN,2020-01-01 12:52:05,COMPLETED,38.82,0.00,0.00,38.82,B001,NULL
O00009,WALK_IN,2020-01-01 13:08:35,COMPLETED,29.88,0.00,0.00,29.88,B001,NULL
O00010,WALK_IN,2020-01-01 13:11:22,COMPLETED,26.84,0.00,0.00,26.84,B001,NULL
O00011,WALK_IN,2020-01-01 13:48:31,COMPLETED,16.21,0.00,0.00,16.21,B001,NULL
O00012,DELIVERY,2020-01-01 13:57:25,COMPLETED,16.06,0.00,0.00,20.96,B001,NULL
O00013,WALK_IN,2020-01-01 15:45:40,COMPLETED,17.10,0.00,0.00,17.10,B001,NULL
O00014,WALK_IN,2020-01-01 15:54:23,COMPLETED,53.36,0.00,0.00,53.36,B001,NULL
O00015,DELIVERY,2020-01-01 16:26:50,COMPLETED,18.58,0.00,0.00,23.48,B001,NULL
O00016,WALK_IN,2020-01-01 16:35:02,COMPLETED,44.49,0.00,0.00,44.49,B001,NULL
O00017,WALK_IN,2020-01-01 17:15:09,COMPLETED,10.63,0.00,0.00,10.63,B001,NULL
O00018,WALK_IN,2020-01-01 17:50:06,COMPLETED,13.20,0.00,0.00,13.20,B001,NULL
O00019,DELIVERY,2020-01-01 18:27:00,COMPLETED,25.60,0.00,0.00,30.50,B001,NULL
O00020,WALK_IN,2020-01-01 18:36:57,COMPLETED,25.19,0.00,0.00,25.19,B001,NULL
O00021,WALK_IN,2020-01-01 18:53:08,COMPLETED,25.37,0.00,0.00,25.37,B001,NULL
O00022,PICKUP,2020-01-01 19:09:44,COMPLETED,31.16,0.00,0.00,31.16,B001,NULL
O00023,WALK_IN,2020-01-01 20:41:11,COMPLETED,20.00,0.00,0.00,20.00,B001,NULL
O00024,WALK_IN,2020-01-01 21:38:13,COMPLETED,100.84,8.00,0.00,92.84,B001,V001
O00025,WALK_IN,2020-01-02 08:50:48,COMPLETED,12.24,0.00,0.00,12.24,B001,NULL
O00026,PICKUP,2020-01-02 10:30:55,COMPLETED,6.16,0.00,0.00,6.16,B001,NULL
O00027,WALK_IN,2020-01-02 12:13:03,COMPLETED,22.84,0.00,0.00,22.84,B001,NULL
O00028,WALK_IN,2020-01-02 12:26:51,COMPLETED,22.94,0.00,0.00,22.94,B001,NULL
O00029,WALK_IN,2020-01-02 13:37:22,COMPLETED,2.91,0.00,0.00,2.91,B001,NULL
O00030,PICKUP,2020-01-02 13:49:12,COMPLETED,62.07,0.00,0.00,62.07,B001,NULL
O00031,DELIVERY,2020-01-02 13:58:02,COMPLETED,7.54,0.00,0.00,12.44,B001,NULL
O00032,PICKUP,2020-01-02 14:14:42,COMPLETED,13.49,0.00,0.00,13.49,B001,NULL
O00033,WALK_IN,2020-01-02 14:50:29,COMPLETED,74.45,0.00,0.00,74.45,B001,NULL
