ItemID,Year,SellingPrice
I0001,2024,12.7
I0001,2025,13.1
I0001,2026,13.6
I0002,2024,15.4
I0002,2025,15.9
I0002,2026,16.3
I0003,2024,2.6
I0003,2025,2.7
I0003,2026,2.8
I0004,2024,2.0
I0004,2025,2.1
I0004,2026,2.2
I0005,2024,
I0005,2025,
I0005,2026,4.2
I0006,2024,4.4
I0006,2025,4.5
I0006,2026,4.6
I0007,2024,2.0
I0007,2025,2.1
I0007,2026,2.1
I0008,2024,
I0008,2025,
I0008,2026,13.0
I0009,2024,
I0009,2025,
I0009,2026,2.1
I0010,2024,2.2
I0010,2025,2.3
I0010,2026,2.4
I0011,2024,
I0011,2025,
I0011,2026,3.3
I0012,2024,
I0012,2025,2.0
I0012,2026,2.1
I0013,2024,4.0
I0013,2025,4.1
I0013,2026,4.3
I0014,2024,2.1
I0014,2025,2.2
I0014,2026,2.3
I0015,2024,2.0
I0015,2025,2.1
I0015,2026,2.2
I0016,2024,2.7
I0016,2025,2.8
I0016,2026,2.9
I0017,2024,2.1
I0017,2025,2.2
I0017,2026,2.3
I0018,2024,
I0018,2025,2.1
I0018,2026,2.2
I0019,2024,2.3
I0019,2025,2.4
I0019,2026,2.5
I0020,2024,2.1
I0020,2025,2.2
I0020,2026,2.3
I0021,2024,
I0021,2025,
I0021,2026,2.0
I0022,2024,
I0022,2025,
I0022,2026,2.1
I0023,2024,
I0023,2025,2.0
I0023,2026,2.1
I0024,2024,
I0024,2025,2.0
I0024,2026,2.1
I0025,2024,4.1
I0025,2025,4.3
I0025,2026,4.5
I0026,2024,2.6
I0026,2025,2.7
I0026,2026,2.8
I0027,2024,5.1
I0027,2025,5.3
I0027,2026,5.6
I0028,2024,5.8
I0028,2025,6.0
I0028,2026,6.3
I0029,2024,
I0029,2025,3.9
I0029,2026,4.0
I0030,2024,
I0030,2025,
I0030,2026,4.8
I0031,2024,
I0031,2025,5.0
I0031,2026,5.2
I0032,2024,
I0032,2025,
I0032,2026,4.8
I0033,2024,
I0033,2025,2.5
I0033,2026,2.6
I0034,2024,
I0034,2025,
I0034,2026,5.1
I0035,2024,1.4
I0035,2025,1.4
I0035,2026,1.5
I0036,2024,1.5
I0036,2025,1.6
I0036,2026,1.7
I0037,2024,1.5
I0037,2025,1.5
I0037,2026,1.5
I0038,2024,1.6
I0038,2025,1.6
I0038,2026,1.7
I0039,2024,1.5
I0039,2025,1.6
I0039,2026,1.7
I0040,2024,1.5
I0040,2025,1.6
I0040,2026,1.7
I0041,2024,
I0041,2025,1.5
I0041,2026,1.5
I0042,2024,
I0042,2025,1.6
I0042,2026,1.7
I0043,2024,
I0043,2025,1.6
I0043,2026,1.7
I0044,2024,
I0044,2025,1.5
I0044,2026,1.5
I0045,2024,
I0045,2025,
I0045,2026,4.0
I0046,2024,1.2
I0046,2025,1.2
I0046,2026,1.2
I0047,2024,3.6
I0047,2025,3.7
I0047,2026,3.9
I0048,2024,1.9
I0048,2025,2.0
I0048,2026,2.1
I0049,2024,2.1
I0049,2025,2.2
I0049,2026,2.3
I0050,2024,
I0050,2025,3.6
I0050,2026,3.7
I0051,2024,
I0051,2025,2.0
I0051,2026,2.1
I0052,2024,
I0052,2025,2.7
I0052,2026,2.8
I0053,2024,7.2
I0053,2025,7.5
I0053,2026,7.9
I0054,2024,6.4
I0054,2025,6.6
I0054,2026,6.9
I0055,2024,2.0
