CategoryID,CategoryName,Description,Status
PC001,Rice and Grains,"Various types of rice, flour, and grains",ACTIVE
PC002,Cooking Essentials,"Oils, sauces, seasonings, and condiments",ACTIVE
PC003,Canned and Packaged Food,"Canned vegetables, meats, and ready-to-eat meals",ACTIVE
PC004,Beverages,"Soft drinks, juices, water, and energy drinks",ACTIVE
PC005,Snacks and Confectionery,"Chips, chocolates, candies, and biscuits",ACTIVE
PC006,Dairy Products,"Milk, cheese, butter, and yoghurt",ACTIVE
PC007,Frozen Food,"Frozen vegetables, meats, and ready meals",ACTIVE
PC008,Instant Food,"Instant noodles, cereals, and quick meals",ACTIVE
PC009,Personal Care,"Shampoo, soap, toothpaste, and skincare",ACTIVE
PC010,Household Cleaning,"Detergents, disinfectants, and cleaning tools",ACTIVE
PC011,Baby Products,"Baby milk, diapers, and baby food",ACTIVE
PC012,Stationery and Daily Needs,"Paper, pens, batteries, and household items",ACTIVE
PC013,Alcoholic Beverages,"Beers, wines, spirits, and other alcoholic drinks",ACTIVE
PC014,Premium Items,Luxury and gourmet products,INACTIVE
PC015,Organic Foods,Certified organic produce and packaged goods,INACTIVE
PC016,Imported Goods,Specialty imported items,INACTIVE
