PurchaseOrderID,ItemID,QuantityOrdered,QuantityReceived,UnitCost,LineTotal
PO0001,I0009,176,176,27.51,4841.76
PO0001,I0014,158,158,17.47,2760.26
PO0001,I0059,133,133,1.61,214.13
PO0001,I0029,50,50,9.1,455.0
PO0001,I0024,102,102,4.25,433.5
PO0002,I0010,30,30,26.55,796.5
PO0002,I0120,39,39,6.41,249.99
PO0002,I0040,32,32,14.72,471.04
PO0003,I0025,13,13,12.91,167.83
PO0003,I0100,27,27,35.96,970.92
PO0003,I0065,24,24,7.51,180.24
PO0003,I0040,17,17,13.42,228.14
PO0004,I0049,138,132,3.45,476.1
PO0004,I0104,20,20,8.66,173.2
PO0004,I0069,182,165,6.47,1177.54
PO0004,I0119,161,154,17.65,2841.65
PO0005,I0004,29,29,2.78,80.62
PO0005,I0024,72,72,4.63,333.36
PO0005,I0064,167,167,19.2,3206.4
PO0005,I0059,163,163,1.55,252.65
PO0006,I0021,59,53,29.01,1711.59
PO0006,I0120,10,10,5.04,50.4
PO0006,I0024,133,133,4.91,653.03
PO0006,I0005,14,12,24.26,339.64
PO0006,I0115,7,6,25.18,176.26
PO0007,I0069,89,80,6.7,596.3
PO0007,I0004,109,103,2.48,270.32
PO0007,I0084,159,153,28.39,4514.01
PO0007,I0014,170,160,16.57,2816.9
PO0007,I0104,162,146,9.28,1503.36
PO0007,I0059,166,151,1.37,227.42
PO0008,I0045,10,10,6.94,69.4
PO0008,I0030,13,13,26.56,345.28
PO0009,I0017,30,26,12.99,389.7
PO0009,I0012,34,25,29.21,993.14
PO0009,I0102,38,37,28.45,1081.1
PO0009,I0092,32,32,22.04,705.28
PO0009,I0002,8,6,8.52,68.16
PO0009,I0057,18,13,21.5,387.0
PO0010,I0003,59,55,16.78,990.02
PO0010,I0043,27,24,26.44,713.88
PO0010,I0008,19,19,10.36,196.84
PO0010,I0033,41,40,15.17,621.97
PO0011,I0024,165,165,4.19,691.35
PO0011,I0069,131,131,8.15,1067.65
PO0011,I0029,156,156,7.92,1235.52
PO0011,I0084,114,114,29.48,3360.72
PO0011,I0104,153,153,8.53,1305.09
PO0012,I0052,24,21,34.76,834.24
PO0012,I0042,28,27,24.12,675.36
PO0012,I0097,37,35,25.06,927.22
PO0012,I0007,30,28,29.58,887.4
PO0012,I0098,51,48,20.28,1034.28
PO0012,I0002,39,38,9.18,358.02
PO0013,I0029,68,64,9.29,631.72
PO0013,I0009,192,187,29.4,5644.8
PO0013,I0069,51,46,6.58,335.58
PO0013,I0064,33,32,20.83,687.39
PO0013,I0104,40,40,8.67,346.8
PO0014,I0029,152,152,8.29,1260.08
PO0014,I0119,172,172,16.98,2920.56
PO0014,I0024,199,199,4.98,991.02
PO0014,I0049,184,184,3.45,634.8
