PurchaseOrderID,OrderDate,ExpectedDeliveryDate,ReceivedDate,TotalAmount,Status,SupplierID,StaffID
PO0001,2024-01-05,2024-01-08,2024-01-07,8704.65,RECEIVED,SUP002,S0047
PO0002,2024-01-08,2024-01-11,2024-01-10,1517.53,RECEIVED,SUP003,S0047
PO0003,2024-01-12,2024-01-15,2024-01-13,1547.13,RECEIVED,SUP003,S0047
PO0004,2024-01-14,2024-01-19,2024-01-20,4668.49,RECEIVED,SUP008,S0047
PO0005,2024-01-14,2024-01-17,2024-01-18,3873.03,RECEIVED,SUP002,S0047
PO0006,2024-01-17,2024-01-22,2024-01-25,2930.92,RECEIVED,SUP006,S0047
PO0007,2024-01-22,2024-01-27,2024-01-29,9928.31,RECEIVED,SUP008,S0047
PO0008,2024-01-23,2024-01-26,2024-01-24,414.68,RECEIVED,SUP003,S0047
PO0009,2024-01-31,2024-02-07,2024-02-10,3624.38,RECEIVED,SUP009,S0047
PO0010,2024-02-07,2024-02-12,2024-02-15,2522.71,RECEIVED,SUP005,S0047
PO0011,2024-02-12,2024-02-15,2024-02-14,7660.33,RECEIVED,SUP002,S0047
PO0012,2024-02-16,2024-02-21,2024-02-22,4716.52,RECEIVED,SUP007,S0047
PO0013,2024-02-16,2024-02-21,2024-02-24,7646.29,RECEIVED,SUP008,S0047
PO0014,2024-02-16,2024-02-19,2024-02-20,9344.82,RECEIVED,SUP002,S0047
PO0015,2024-02-16,2024-02-21,2024-02-23,904.03,RECEIVED,SUP005,S0047
PO0016,2024-02-16,2024-02-21,2024-02-22,1413.07,RECEIVED,SUP004,S0047
PO0017,2024-02-20,2024-02-23,2024-02-21,1423.75,RECEIVED,SUP003,S0047
PO0018,2024-02-21,2024-02-24,2024-02-25,457.75,RECEIVED,SUP003,S0047
PO0019,2024-02-24,2024-02-29,2024-02-28,1619.59,RECEIVED,SUP004,S0047
PO0020,2024-03-04,2024-03-09,2024-03-08,2718.42,RECEIVED,SUP005,S0047
PO0021,2024-03-06,2024-03-09,2024-03-09,1718.45,RECEIVED,SUP003,S0047
PO0022,2024-03-07,2024-03-12,2024-03-13,1508.32,RECEIVED,SUP008,S0047
PO0023,2024-03-15,2024-03-20,2024-03-21,2278.79,RECEIVED,SUP011,S0047
PO0024,2024-03-21,2024-03-24,2024-03-23,1602.85,RECEIVED,SUP003,S0005
PO0025,2024-03-25,2024-03-30,2024-03-29,2740.29,RECEIVED,SUP005,S0005
PO0026,2024-03-26,2024-04-01,2024-04-02,3955.49,RECEIVED,SUP012,S0028
PO0027,2024-03-27,2024-04-01,2024-04-02,2742.49,RECEIVED,SUP007,S0047
PO0028,2024-03-28,2024-04-02,2024-04-02,3083.04,RECEIVED,SUP007,S0028
PO0029,2024-04-01,2024-04-06,2024-04-09,929.5,RECEIVED,SUP004,S0029
PO0030,2024-04-03,2024-04-06,2024-04-06,1735.5,RECEIVED,SUP001,S0028
PO0031,2024-04-04,2024-04-07,2024-04-06,5546.4,RECEIVED,SUP001,S0028
PO0032,2024-04-04,2024-04-07,2024-04-05,1799.02,RECEIVED,SUP003,S0047
PO0033,2024-04-04,2024-04-07,2024-04-05,7941.27,RECEIVED,SUP002,S0028
PO0034,2024-04-13,2024-04-18,2024-04-20,2279.0,RECEIVED,SUP008,S0029
PO0035,2024-04-15,2024-04-18,2024-04-19,1002.61,RECEIVED,SUP003,S0047
PO0036,2024-04-20,2024-04-27,2024-05-01,384.14,RECEIVED,SUP010,S0047
PO0037,2024-04-29,2024-05-04,2024-05-07,600.04,RECEIVED,SUP005,S0047
PO0038,2024-05-04,2024-05-07,2024-05-06,6721.11,RECEIVED,SUP002,S0028
PO0039,2024-05-06,2024-05-09,2024-05-08,3132.16,RECEIVED,SUP002,S0028
PO0040,2024-05-14,2024-05-19,2024-05-21,8419.38,RECEIVED,SUP008,S0029
PO0041,2024-05-20,2024-05-23,,1026.18,CANCELLED,SUP003,S0047
PO0042,2024-05-21,2024-05-26,2024-05-29,570.06,RECEIVED,SUP004,S0047
PO0043,2024-05-23,2024-05-30,2024-06-03,1442.47,RECEIVED,SUP009,S0047
PO0044,2024-05-24,2024-05-29,2024-06-01,6933.12,RECEIVED,SUP008,S0029
PO0045,2024-06-01,2024-06-04,2024-06-04,5200.53,RECEIVED,SUP002,S0047
PO0046,2024-06-03,2024-06-08,2024-06-09,5213.04,RECEIVED,SUP006,S0028
PO0047,2024-06-13,2024-06-18,2024-06-19,5962.09,RECEIVED,SUP011,S0028
PO0048,2024-06-27,2024-06-30,2024-06-30,3279.48,RECEIVED,SUP001,S0047
PO0049,2024-06-27,2024-07-02,2024-07-03,2863.83,RECEIVED,SUP007,S0005
PO0050,2024-06-28,2024-07-03,2024-07-06,2692.53,RECEIVED,SUP008,S0028
PO0051,2024-06-30,2024-07-07,2024-07-12,1344.03,RECEIVED,SUP009,S0047
PO0052,2024-07-03,2024-07-08,2024-07-12,7474.6,RECEIVED,SUP011,S0047
PO0053,2024-07-10,2024-07-15,2024-07-15,4565.05,RECEIVED,SUP008,S0047
PO0054,2024-07-10,2024-07-15,2024-07-18,6188.38,RECEIVED,SUP005,S0047
PO0055,2024-07-11,2024-07-16,,3200.58,CANCELLED,SUP005,S0029
PO0056,2024-07-17,2024-07-20,2024-07-18,5756.08,RECEIVED,SUP002,S0034
PO0057,2024-07-20,2024-07-25,2024-07-28,3582.54,RECEIVED,SUP006,S0028
PO0058,2024-07-29,2024-08-03,2024-08-04,9948.88,RECEIVED,SUP008,S0047
PO0059,2024-08-06,2024-08-09,2024-08-10,6064.51,RECEIVED,SUP001,S0034
PO0060,2024-08-07,2024-08-14,2024-08-19,2921.73,RECEIVED,SUP010,S0034
