StaffID,HireDate,InactiveDate,Status
S0001,2024-01-13,,ACTIVE
S0002,2024-01-13,,ACTIVE
S0003,2024-01-13,,ACTIVE
S0004,2024-01-13,,ACTIVE
S0005,2024-01-13,,ACTIVE
S0006,2024-01-13,,ACTIVE
S0007,2024-01-13,,ACTIVE
S0008,2025-06-15,,ON LEAVE
S0009,2024-06-05,,ACTIVE
S0010,2024-06-05,,ACTIVE
S0011,2024-06-05,,ACTIVE
S0012,2024-06-05,,ACTIVE
S0013,2024-06-05,,ACTIVE
S0014,2024-06-05,,ACTIVE
S0015,2024-06-05,,ACTIVE
S0016,2026-01-28,2026-04-05,RESIGNED
S0017,2024-09-01,,ACTIVE
S0018,2024-09-01,,ACTIVE
S0019,2024-09-01,,ACTIVE
S0020,2024-09-01,,ACTIVE
S0021,2024-09-01,,ACTIVE
S0022,2024-09-01,,ACTIVE
S0023,2024-09-01,,ACTIVE
S0024,2025-07-29,,ON LEAVE
S0025,2025-01-03,,ACTIVE
S0026,2025-01-03,,ACTIVE
S0027,2025-01-03,,ACTIVE
S0028,2025-01-03,,ACTIVE
S0029,2025-01-03,,ACTIVE
S0030,2025-01-03,,ACTIVE
S0031,2025-01-03,,ACTIVE
S0032,2025-11-30,,ON LEAVE
S0033,2025-02-23,,ACTIVE
S0034,2025-02-23,,ACTIVE
S0035,2025-02-23,,ACTIVE
S0036,2025-02-23,,ACTIVE
S0037,2025-02-23,,ACTIVE
S0038,2025-02-23,,ACTIVE
S0039,2025-02-23,,ACTIVE
S0040,2025-12-21,,ACTIVE
S0041,2025-03-21,,ACTIVE
S0042,2025-03-21,,ACTIVE
S0043,2025-03-21,,ACTIVE
S0044,2025-03-21,,ACTIVE
S0045,2025-03-21,,ACTIVE
S0046,2025-03-21,,ACTIVE
S0047,2025-03-21,,ACTIVE
S0048,2026-01-04,,ACTIVE
S0049,2025-05-17,,ACTIVE
S0050,2025-05-17,,ACTIVE
S0051,2025-05-17,,ACTIVE
S0052,2025-05-17,,ACTIVE
S0053,2025-05-17,,ACTIVE
S0054,2025-05-17,,ACTIVE
S0055,2025-05-17,,ACTIVE
S0056,2026-06-22,,ON LEAVE
S0057,2025-05-21,,ACTIVE
S0058,2025-05-21,,ACTIVE
S0059,2025-05-21,,ACTIVE
S0060,2025-05-21,,ACTIVE
S0061,2025-05-21,,ACTIVE
S0062,2025-05-21,,ACTIVE
S0063,2025-05-21,,ACTIVE
S0064,2026-03-14,,ACTIVE
S0065,2025-06-01,,ACTIVE
S0066,2025-06-01,,ACTIVE
S0067,2025-06-01,,ACTIVE
S0068,2025-06-01,,ACTIVE
S0069,2025-06-01,,ACTIVE
S0070,2025-06-01,,ACTIVE
S0071,2025-06-01,,ACTIVE
S0072,2025-11-21,,ACTIVE
S0073,2025-10-27,,ACTIVE
S0074,2025-10-27,,ACTIVE
S0075,2025-10-27,,ACTIVE
S0076,2025-10-27,,ACTIVE
S0077,2025-10-27,,ACTIVE
S0078,2025-10-27,,ACTIVE
S0079,2025-10-27,,ACTIVE
S0080,2026-03-08,,ACTIVE
S0081,2025-11-25,,ACTIVE
S0082,2025-11-25,,ACTIVE
S0083,2025-11-25,,ACTIVE
S0084,2025-11-25,,ACTIVE
S0085,2025-11-25,,ACTIVE
S0086,2025-11-25,,ACTIVE
S0087,2025-11-25,,ACTIVE
S0088,2026-02-02,,ON LEAVE
S0089,2025-12-07,2026-02-11,RESIGNED
S0090,2025-12-07,2026-02-16,RESIGNED
S0091,2025-12-07,2026-02-20,RESIGNED
S0092,2025-12-07,2026-02-19,RESIGNED
S0093,2025-12-07,2026-02-11,RESIGNED
S0094,2025-12-07,2025-12-27,RESIGNED
S0095,2025-12-07,2026-01-08,RESIGNED
S0096,2026-03-31,2026-05-15,RESIGNED
