BranchID,ItemID,QuantityOnHand,ReorderLevel,ReorderQuantity,LastUpdated
B001,I0001,395,161,407,2024-01-13
B001,I0002,571,152,298,2024-01-13
B001,I0003,300,173,350,2024-01-13
B001,I0004,249,149,277,2024-01-13
B001,I0005,0,19,35,2024-01-13
B001,I0006,0,148,230,2024-01-13
B001,I0007,0,160,373,2024-01-13
B001,I0008,0,188,449,2024-01-13
B001,I0009,0,93,184,2024-01-13
B001,I0010,0,126,295,2024-01-13
B001,I0011,0,78,177,2024-01-13
B001,I0012,0,241,429,2024-01-13
B001,I0013,355,182,493,2024-01-13
B001,I0014,256,191,309,2024-01-13
B001,I0015,759,100,157,2024-01-13
B001,I0016,386,176,307,2024-01-13
B001,I0017,0,57,118,2024-01-13
B001,I0018,0,61,115,2024-01-13
B001,I0019,0,127,314,2024-01-13
B001,I0020,0,135,202,2024-01-13
B001,I0021,0,80,184,2024-01-13
B001,I0022,0,142,220,2024-01-13
B001,I0023,0,148,437,2024-01-13
B001,I0024,0,196,407,2024-01-13
B001,I0025,460,21,58,2024-01-13
B001,I0026,140,56,122,2024-01-13
B001,I0027,100,65,101,2024-01-13
B001,I0028,265,32,83,2024-01-13
B001,I0029,0,74,203,2024-01-13
B001,I0030,0,79,190,2024-01-13
B001,I0031,0,107,231,2024-01-13
B001,I0032,0,89,181,2024-01-13
B001,I0033,0,93,277,2024-01-13
B001,I0034,0,46,86,2024-01-13
B001,I0035,59,43,104,2024-01-13
B001,I0036,422,80,147,2024-01-13
B001,I0037,376,23,66,2024-01-13
B001,I0038,295,98,170,2024-01-13
B001,I0039,0,95,176,2024-01-13
B001,I0040,0,80,144,2024-01-13
B001,I0041,0,89,152,2024-01-13
B001,I0042,0,122,215,2024-01-13
B001,I0043,0,30,45,2024-01-13
B001,I0044,0,120,356,2024-01-13
B001,I0045,0,37,76,2024-01-13
B001,I0046,0,60,153,2024-01-13
B001,I0047,0,55,99,2024-01-13
B001,I0048,0,41,76,2024-01-13
B001,I0049,0,14,24,2024-01-13
B001,I0050,0,104,184,2024-01-13
B001,I0051,0,73,118,2024-01-13
B001,I0052,0,21,36,2024-01-13
B001,I0053,121,43,106,2024-01-13
B001,I0054,354,22,46,2024-01-13
B001,I0055,349,38,95,2024-01-13
B001,I0056,250,46,136,2024-01-13
B001,I0057,0,104,194,2024-01-13
B001,I0058,0,11,32,2024-01-13
B001,I0059,0,29,73,2024-01-13
B001,I0060,0,69,165,2024-01-13
B001,I0061,0,32,63,2024-01-13
B001,I0062,0,27,47,2024-01-13
B001,I0063,0,37,72,2024-01-13
B001,I0064,0,21,35,2024-01-13
B001,I0065,0,19,45,2024-01-13
B001,I0066,0,27,55,2024-01-13
B001,I0067,0,7,16,2024-01-13
B001,I0068,0,30,83,2024-01-13
B001,I0069,0,43,112,2024-01-13
B001,I0070,0,29,59,2024-01-13
B001,I0071,221,111,179,2024-01-13
B001,I0072,542,139,290,2024-01-13
B001,I0073,276,91,192,2024-01-13
B001,I0074,399,54,140,2024-01-13
B001,I0075,0,105,204,2024-01-13
B001,I0076,0,247,692,2024-01-13
B001,I0077,0,170,353,2024-01-13
B001,I0078,0,51,86,2024-01-13
B001,I0079,0,28,78,2024-01-13
B001,I0080,0,27,50,2024-01-13
B001,I0081,0,84,173,2024-01-13
B001,I0082,0,70,186,2024-01-13
B001,I0083,0,70,186,2024-01-13
B001,I0084,0,74,125,2024-01-13
B001,I0085,0,70,186,2024-01-13
B001,I0086,0,63,109,2024-01-13
B001,I0087,0,32,70,2024-01-13
B001,I0088,0,46,70,2024-01-13
B001,I0089,147,102,305,2024-01-13
B001,I0090,176,92,221,2024-01-13
B001,I0091,125,87,162,2024-01-13
B001,I0092,409,20,44,2024-01-13
B001,I0093,0,49,103,2024-01-13
B001,I0094,0,114,191,2024-01-13
B001,I0095,0,85,249,2024-01-13
B001,I0096,0,32,59,2024-01-13
B001,I0097,579,69,185,2024-01-13
B001,I0098,108,127,293,2024-01-13
B001,I0099,588,52,89,2024-01-13
B001,I0100,510,124,301,2024-01-13
B001,I0101,0,246,477,2024-01-13
B001,I0102,0,253,564,2024-01-13
B001,I0103,0,216,490,2024-01-13
B001,I0104,0,172,354,2024-01-13
B001,I0105,0,59,141,2024-01-13
B001,I0106,0,31,50,2024-01-13
B001,I0107,0,26,55,2024-01-13
B001,I0108,0,23,36,2024-01-13
B001,I0109,0,25,38,2024-01-13
B001,I0110,0,39,66,2024-01-13
B001,I0111,0,21,58,2024-01-13
B001,I0112,0,103,207,2024-01-13
B001,I0113,0,76,127,2024-01-13
B001,I0114,0,103,287,2024-01-13
B001,I0115,0,13,25,2024-01-13
B001,I0116,0,7,13,2024-01-13
B001,I0117,0,46,118,2024-01-13
B001,I0118,0,105,252,2024-01-13
B001,I0119,0,18,48,2024-01-13
B001,I0120,0,28,73,2024-01-13
B002,I0001,476,119,270,2024-06-05
B002,I0002,531,65,146,2024-06-05
B002,I0003,111,168,294,2024-06-05
B002,I0004,582,44,122,2024-06-05
B002,I0005,0,213,570,2024-06-05
B002,I0006,0,183,520,2024-06-05
B002,I0007,0,84,142,2024-06-05
B002,I0008,0,157,307,2024-06-05
B002,I0009,0,95,212,2024-06-05
B002,I0010,0,76,162,2024-06-05
B002,I0011,0,61,95,2024-06-05
B002,I0012,0,32,73,2024-06-05
B002,I0013,557,182,273,2024-06-05
B002,I0014,90,96,273,2024-06-05
B002,I0015,644,212,391,2024-06-05
B002,I0016,281,148,338,2024-06-05
B002,I0017,0,95,213,2024-06-05
B002,I0018,0,177,445,2024-06-05
B002,I0019,0,167,275,2024-06-05
B002,I0020,0,136,272,2024-06-05
B002,I0021,0,36,94,2024-06-05
B002,I0022,0,146,235,2024-06-05
B002,I0023,0,25,47,2024-06-05
B002,I0024,0,55,118,2024-06-05
B002,I0025,252,52,118,2024-06-05
B002,I0026,328,32,85,2024-06-05
B002,I0027,51,12,32,2024-06-05
B002,I0028,446,18,37,2024-06-05
B002,I0029,0,10,22,2024-06-05
B002,I0030,0,44,94,2024-06-05
B002,I0031,0,106,210,2024-06-05
B002,I0032,0,108,183,2024-06-05
B002,I0033,0,24,40,2024-06-05
B002,I0034,0,43,87,2024-06-05
B002,I0035,279,19,34,2024-06-05
B002,I0036,80,63,143,2024-06-05
B002,I0037,50,26,57,2024-06-05
B002,I0038,350,111,189,2024-06-05
