SupplierID,ReliabilityProfile,NormalLeadTimeDays,LateDeliveryProbability,CancellationProbability,SupportedCategoryIDs,InactiveDate
SUP001,Highly Reliable,3,0.02,0.01,CAT01,
SUP002,Highly Reliable,3,0.02,0.01,CAT04,
SUP003,Highly Reliable,3,0.02,0.01,CAT05,
SUP004,Average,5,0.15,0.05,CAT02,
SUP005,Average,5,0.15,0.05,CAT03,
SUP006,Average,5,0.15,0.05,"CAT01,CAT04,CAT05",
SUP007,Average,5,0.15,0.05,"CAT02,CAT03",
SUP008,Average,5,0.15,0.05,CAT04,
SUP009,Frequent Delays,7,0.4,0.05,CAT02,
SUP010,Frequent Delays,7,0.4,0.05,CAT05,
SUP011,High Cancellation,5,0.2,0.25,CAT03,
SUP012,Historical,6,0.3,0.1,CAT01,2024-08-15
