Branch_Name,City,Cal_Year_Month,Cal_Month_Name,Cal_Year,Total_Orders,Total_Revenue,Avg_Order_Value,Gross_Margin,Gross_Margin_Pct,Total_Returns,Return_Rate_Pct
"Ampang 88 Speedmart","Ampang",2020-01,"January",2020,599,22302.22,37.23,7925.89,35.5,27,4.51
"Ampang 88 Speedmart","Ampang",2020-02,"February",2020,433,16680.44,38.52,6076.94,36.4,29,6.7
"Ampang 88 Speedmart","Ampang",2020-03,"March",2020,370,13431,36.3,5003.7,37.3,16,4.32
"Ampang 88 Speedmart","Ampang",2020-04,"April",2020,179,6282.92,35.1,2346.39,37.3,20,11.17
"Ampang 88 Speedmart","Ampang",2020-05,"May",2020,268,10355.88,38.64,3876.35,37.4,18,6.72
"Ampang 88 Speedmart","Ampang",2020-06,"June",2020,335,12127.35,36.2,4462.58,36.8,17,5.07
"Ampang 88 Speedmart","Ampang",2020-07,"July",2020,172,5638.88,32.78,2126.27,37.7,13,7.56
"Ampang 88 Speedmart","Ampang",2020-08,"August",2020,154,5870.77,38.12,2073.42,35.3,10,6.49
"Ampang 88 Speedmart","Ampang",2020-09,"September",2020,117,3649.63,31.19,1293.61,35.4,12,10.26
"Ampang 88 Speedmart","Ampang",2020-10,"October",2020,124,4759.68,38.38,1703.01,35.8,5,4.03
"Ampang 88 Speedmart","Ampang",2020-11,"November",2020,175,5792.25,33.1,2086.53,36,12,6.86
"Ampang 88 Speedmart","Ampang",2020-12,"December",2020,249,8646.1,34.72,3124.97,36.1,10,4.02
"Ampang 88 Speedmart","Ampang",2021-01,"January",2021,109,4561.7,41.85,1560.09,34.2,13,11.93
"Ampang 88 Speedmart","Ampang",2021-02,"February",2021,104,4351.94,41.85,1550.77,35.6,6,5.77
"Ampang 88 Speedmart","Ampang",2021-03,"March",2021,98,3230.3,32.96,1131.82,35,4,4.08
"Ampang 88 Speedmart","Ampang",2021-04,"April",2021,75,2440.39,32.54,831.38,34.1,10,13.33
"Ampang 88 Speedmart","Ampang",2021-05,"May",2021,114,4639.76,40.7,1699.09,36.6,12,10.53
"Ampang 88 Speedmart","Ampang",2021-06,"June",2021,103,3531.96,34.29,1208.85,34.2,6,5.83
"Ampang 88 Speedmart","Ampang",2021-07,"July",2021,71,2492.82,35.11,868.62,34.8,13,18.31
"Ampang 88 Speedmart","Ampang",2021-08,"August",2021,72,3354.81,46.59,1078.14,32.1,7,9.72
"Ampang 88 Speedmart","Ampang",2021-09,"September",2021,61,2879.87,47.21,965.26,33.5,5,8.2
"Ampang 88 Speedmart","Ampang",2021-10,"October",2021,57,1660.14,29.13,558.56,33.6,3,5.26
"Ampang 88 Speedmart","Ampang",2021-11,"November",2021,93,3901.54,41.95,1311.78,33.6,4,4.3
"Ampang 88 Speedmart","Ampang",2021-12,"December",2021,141,5183.14,36.76,1843.1,35.6,13,9.22
"Ampang 88 Speedmart","Ampang",2022-01,"January",2022,64,2403.02,37.55,737.32,30.7,10,15.63
"Ampang 88 Speedmart","Ampang",2022-02,"February",2022,57,2528.16,44.35,800.87,31.7,8,14.04
"Ampang 88 Speedmart","Ampang",2022-03,"March",2022,60,2192.23,36.54,705.39,32.2,4,6.67
"Ampang 88 Speedmart","Ampang",2022-04,"April",2022,67,2950.62,44.04,962.52,32.6,3,4.48
"Ampang 88 Speedmart","Ampang",2022-05,"May",2022,49,1825.48,37.25,609.85,33.4,10,20.41
"Ampang 88 Speedmart","Ampang",2022-06,"June",2022,61,2029.26,33.27,665.4,32.8,4,6.56
"Ampang 88 Speedmart","Ampang",2022-07,"July",2022,53,2137.38,40.33,714.72,33.4,5,9.43
"Ampang 88 Speedmart","Ampang",2022-08,"August",2022,60,2365.49,39.42,748.13,31.6,5,8.33
"Ampang 88 Speedmart","Ampang",2022-09,"September",2022,48,1570.7,32.72,530.54,33.8,9,18.75
"Ampang 88 Speedmart","Ampang",2022-10,"October",2022,64,2375.08,37.11,756.71,31.9,3,4.69
"Ampang 88 Speedmart","Ampang",2022-11,"November",2022,78,3124.47,40.06,1018.58,32.6,10,12.82
"Ampang 88 Speedmart","Ampang",2022-12,"December",2022,115,3712.4,32.28,1184.12,31.9,13,11.3
"Ampang 88 Speedmart","Ampang",2023-01,"January",2023,77,3521.46,45.73,1035.52,29.4,9,11.69
"Ampang 88 Speedmart","Ampang",2023-02,"February",2023,53,2220.31,41.89,659.21,29.7,2,3.77
"Ampang 88 Speedmart","Ampang",2023-03,"March",2023,40,1605.43,40.14,505.5,31.5,6,15
"Ampang 88 Speedmart","Ampang",2023-04,"April",2023,53,2078.93,39.23,630.91,30.3,6,11.32
"Ampang 88 Speedmart","Ampang",2023-05,"May",2023,48,2133.46,44.45,637.33,29.9,3,6.25
"Ampang 88 Speedmart","Ampang",2023-06,"June",2023,78,2828.36,36.26,871.08,30.8,9,11.54
"Ampang 88 Speedmart","Ampang",2023-07,"July",2023,50,2199.84,44,660.78,30,4,8
"Ampang 88 Speedmart","Ampang",2023-08,"August",2023,35,1502.06,42.92,461.39,30.7,2,5.71
"Ampang 88 Speedmart","Ampang",2023-09,"September",2023,47,1873.56,39.86,556.28,29.7,6,12.77
"Ampang 88 Speedmart","Ampang",2023-10,"October",2023,43,2131.44,49.57,653.77,30.7,7,16.28
"Ampang 88 Speedmart","Ampang",2023-11,"November",2023,70,2787.94,39.83,878.21,31.5,11,15.71
"Ampang 88 Speedmart","Ampang",2023-12,"December",2023,101,3763.13,37.26,1148.08,30.5,13,12.87
"Ampang 88 Speedmart","Ampang",2024-01,"January",2024,57,2436.45,42.74,732.24,30.1,7,12.28
"Ampang 88 Speedmart","Ampang",2024-02,"February",2024,53,1889.21,35.65,600.92,31.8,1,1.89
"Ampang 88 Speedmart","Ampang",2024-03,"March",2024,38,2064.06,54.32,553.07,26.8,6,15.79
"Ampang 88 Speedmart","Ampang",2024-04,"April",2024,52,1949.55,37.49,566.16,29,8,15.38
"Ampang 88 Speedmart","Ampang",2024-05,"May",2024,38,1431.04,37.66,408.75,28.6,2,5.26
"Ampang 88 Speedmart","Ampang",2024-06,"June",2024,58,2388.19,41.18,694.48,29.1,7,12.07
"Ampang 88 Speedmart","Ampang",2024-07,"July",2024,55,1578.9,28.71,449.62,28.5,3,5.45
"Ampang 88 Speedmart","Ampang",2024-08,"August",2024,53,2491.9,47.02,657.25,26.4,7,13.21
"Ampang 88 Speedmart","Ampang",2024-09,"September",2024,42,1779.81,42.38,502.38,28.2,3,7.14
"Ampang 88 Speedmart","Ampang",2024-10,"October",2024,58,2359.61,40.68,641.43,27.2,7,12.07
"Ampang 88 Speedmart","Ampang",2024-11,"November",2024,73,2613.41,35.8,739.68,28.3,11,15.07
"Ampang 88 Speedmart","Ampang",2024-12,"December",2024,111,3835.75,34.56,1055.52,27.5,10,9.01
"Ampang 88 Speedmart","Ampang",2025-01,"January",2025,66,3122.39,47.31,838.11,26.8,10,15.15
"Ampang 88 Speedmart","Ampang",2025-02,"February",2025,41,1666.98,40.66,437.65,26.3,4,9.76
"Ampang 88 Speedmart","Ampang",2025-03,"March",2025,62,2435.69,39.29,700.5,28.8,5,8.06
"Ampang 88 Speedmart","Ampang",2025-04,"April",2025,40,1915.25,47.88,557.16,29.1,8,20
"Ampang 88 Speedmart","Ampang",2025-05,"May",2025,52,2094.09,40.27,585.17,27.9,6,11.54
"Ampang 88 Speedmart","Ampang",2025-06,"June",2025,79,2823.63,35.74,828.49,29.3,14,17.72
"Ampang 88 Speedmart","Ampang",2025-07,"July",2025,46,1421.73,30.91,376.45,26.5,6,13.04
"Ampang 88 Speedmart","Ampang",2025-08,"August",2025,42,1169.74,27.85,329.35,28.2,5,11.9
"Ampang 88 Speedmart","Ampang",2025-09,"September",2025,57,2639.16,46.3,733.44,27.8,8,14.04
"Ampang 88 Speedmart","Ampang",2025-10,"October",2025,61,2288.16,37.51,638.49,27.9,6,9.84
"Ampang 88 Speedmart","Ampang",2025-11,"November",2025,84,3153.02,37.54,823.23,26.1,7,8.33
"Ampang 88 Speedmart","Ampang",2025-12,"December",2025,115,4067.12,35.37,1125.02,27.7,12,10.43
"Ampang 88 Speedmart","Ampang",2026-01,"January",2026,58,1992.81,34.36,517.4,26,12,20.69
"Ampang 88 Speedmart","Ampang",2026-02,"February",2026,60,2449.49,40.82,637.35,26,7,11.67
"Ampang 88 Speedmart","Ampang",2026-03,"March",2026,66,3749.77,56.81,920.06,24.5,14,21.21
"Ampang 88 Speedmart","Ampang",2026-04,"April",2026,42,1950.84,46.45,472.71,24.2,8,19.05
"Ampang 88 Speedmart","Ampang",2026-05,"May",2026,51,2083.77,40.86,538.4,25.8,6,11.76
"Ampang 88 Speedmart","Ampang",2026-06,"June",2026,82,3613.41,44.07,899.82,24.9,12,14.63
"Cheras 88 Speedmart","Cheras",2020-04,"April",2020,173,6312.16,36.49,2260.8,35.8,3,1.73
