==================================================================================================================================
BRANCH PERFORMANCE SUMMARY (BY YEAR)
==================================================================================================================================
Report Generated On : 29-AUG-2026 02:43:40
Reporting Period     : All Available History
----------------------------------------------------------------------------------------------------------------------------------
EXECUTIVE SUMMARY
----------------------------------------------------------------------------------------------------------------------------------
Total Branches Evaluated : 12
Top Performing Branch    : Ampang 88 Speedmart (RM 287,080.63)
----------------------------------------------------------------------------------------------------------------------------------
BRANCH                        CITY                  YEAR   ORDERS    REVENUE (RM)    AOV (RM)  MARGIN %   RETURNS  RETURN %
----------------------------------------------------------------------------------------------------------------------------------
Ampang 88 Speedmart           Ampang                2020     3175      115,537.12       36.39      36.4       189      5.95
Ampang 88 Speedmart           Ampang                2021     1098       42,228.37       38.46      34.6        96      8.74
Ampang 88 Speedmart           Ampang                2022      776       29,214.29       37.65      32.3        84     10.82
Ampang 88 Speedmart           Ampang                2023      695       28,645.92       41.22      30.4        78     11.22
Ampang 88 Speedmart           Ampang                2024      688       26,817.88       38.98      28.3        72     10.47
Ampang 88 Speedmart           Ampang                2025      745       28,796.96       38.65      27.7        91     12.21
Ampang 88 Speedmart           Ampang                2026      359       15,840.09       44.12      25.2        62     17.27
Cheras 88 Speedmart           Cheras                2020     1737       63,014.74       36.28      36.4       101      5.81
Cheras 88 Speedmart           Cheras                2021     1088       38,693.65       35.56      34.7        69      6.34
Cheras 88 Speedmart           Cheras                2022      738       26,985.29       36.57      32.1        78     10.57
Cheras 88 Speedmart           Cheras                2023      728       28,424.47       39.04      30.1        74     10.16
Cheras 88 Speedmart           Cheras                2024      737       26,646.80       36.16      29.1        90     12.21
Cheras 88 Speedmart           Cheras                2025      761       30,505.68       40.09      26.7       100     13.14
Cheras 88 Speedmart           Cheras                2026      418       17,208.35       41.17      26.2        79     18.90
George Town 88 Speedmart      George Town           2021      271       10,621.06       39.19      33.3        12      4.43
George Town 88 Speedmart      George Town           2022      807       30,041.85       37.23      32.6        64      7.93
George Town 88 Speedmart      George Town           2023      644       25,899.41       40.22      30.1        62      9.63
George Town 88 Speedmart      George Town           2024      720       28,283.64       39.28      28.3        86     11.94
George Town 88 Speedmart      George Town           2025      773       30,311.18       39.21      26.8       101     13.07
George Town 88 Speedmart      George Town           2026      395       15,286.90       38.70      26.2        86     21.77
Ipoh 88 Speedmart             Ipoh                  2021      488       16,911.01       34.65      34.3        39      7.99
Ipoh 88 Speedmart             Ipoh                  2022      731       27,075.99       37.04      32.3        59      8.07
Ipoh 88 Speedmart             Ipoh                  2023      707       28,107.89       39.76      30.0        75     10.61
Ipoh 88 Speedmart             Ipoh                  2024      704       30,048.17       42.68      28.0        86     12.22
Ipoh 88 Speedmart             Ipoh                  2025      720       28,472.61       39.55      26.9        98     13.61
Ipoh 88 Speedmart             Ipoh                  2026      410       16,715.47       40.77      26.2        63     15.37
Johor Bahru 88 Speedmart      Johor Bahru           2021      732       26,763.34       36.56      34.3        51      6.97
Johor Bahru 88 Speedmart      Johor Bahru           2022      728       27,029.81       37.13      32.2        64      8.79
Johor Bahru 88 Speedmart      Johor Bahru           2023      697       26,535.22       38.07      30.3        72     10.33
Johor Bahru 88 Speedmart      Johor Bahru           2024      695       27,704.94       39.86      28.2        77     11.08
Johor Bahru 88 Speedmart      Johor Bahru           2025      795       30,142.17       37.91      27.4       114     14.34
Johor Bahru 88 Speedmart      Johor Bahru           2026      364       13,532.60       37.18      26.8        63     17.31
Klang 88 Speedmart            Klang                 2021     1051       38,983.46       37.09      34.2        70      6.66
Klang 88 Speedmart            Klang                 2022      714       29,038.15       40.67      32.2        57      7.98
Klang 88 Speedmart            Klang                 2023      676       25,596.47       37.86      30.7        88     13.02
Klang 88 Speedmart            Klang                 2024      723       28,657.01       39.64      28.3        93     12.86
Klang 88 Speedmart            Klang                 2025      731       28,999.58       39.67      27.0       112     15.32
Klang 88 Speedmart            Klang                 2026      462       20,221.80       43.77      25.7        85     18.40
Kota Kinabalu 88 Speedmart    Kota Kinabalu         2023      696       27,105.45       38.94      30.6        60      8.62
Kota Kinabalu 88 Speedmart    Kota Kinabalu         2024      697       26,628.76       38.20      28.0        83     11.91
Kota Kinabalu 88 Speedmart    Kota Kinabalu         2025      763       30,664.86       40.19      26.5        93     12.19
Kota Kinabalu 88 Speedmart    Kota Kinabalu         2026      381       15,311.10       40.19      25.9        43     11.29
Kuching 88 Speedmart          Kuching               2023      386       16,355.74       42.37      30.3        43     11.14
Kuching 88 Speedmart          Kuching               2024      704       27,460.03       39.01      28.5        82     11.65
Kuching 88 Speedmart          Kuching               2025      480       18,727.79       39.02      26.9        82     17.08
Melaka 88 Speedmart           Melaka                2022      399       15,552.98       38.98      31.6        32      8.02
Melaka 88 Speedmart           Melaka                2023      697       26,519.70       38.05      30.4        58      8.32
Melaka 88 Speedmart           Melaka                2024      685       27,416.63       40.02      28.4        81     11.82
Melaka 88 Speedmart           Melaka                2025      785       30,455.83       38.80      27.1        92     11.72
Melaka 88 Speedmart           Melaka                2026      352       13,920.26       39.55      26.2        57     16.19
Petaling Jaya 88 Speedmart    Petaling Jaya         2020     1024       36,051.70       35.21      36.3        53      5.18
Petaling Jaya 88 Speedmart    Petaling Jaya         2021     1071       40,102.39       37.44      34.4        80      7.47
Petaling Jaya 88 Speedmart    Petaling Jaya         2022      725       28,103.18       38.76      32.2        52      7.17
Petaling Jaya 88 Speedmart    Petaling Jaya         2023      650       26,019.68       40.03      30.6        71     10.92
Petaling Jaya 88 Speedmart    Petaling Jaya         2024      653       25,092.10       38.43      28.8        84     12.86
Petaling Jaya 88 Speedmart    Petaling Jaya         2025      791       31,554.70       39.89      27.1       101     12.77
Petaling Jaya 88 Speedmart    Petaling Jaya         2026      413       17,324.75       41.95      25.8        71     17.19
Seremban 88 Speedmart         Seremban              2022      791       31,213.77       39.46      32.3        69      8.72
Seremban 88 Speedmart         Seremban              2023      686       26,480.41       38.60      30.6        63      9.18
Seremban 88 Speedmart         Seremban              2024      682       27,614.10       40.49      28.1        76     11.14
