Delivery_Company_Name,Company_Status,Branch_Name,Cal_Year,Cal_Year_Month,Cal_Month_Name,Total_Orders,Total_Delivery_Fee,Avg_Delay_Days,On_Time_Pct
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2020,2020-01,"January",7,36.3,-.9,100
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2020,2020-02,"February",11,55.9,-.6,90.9
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2020,2020-03,"March",7,38.3,-.3,71.4
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2020,2020-04,"April",4,23.6,-.3,75
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2020,2020-05,"May",7,36.3,-1,85.7
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2020,2020-06,"June",10,51,-.3,80
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2020,2020-07,"July",3,16.7,-1,66.7
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2020,2020-08,"August",3,14.7,0,66.7
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2020,2020-09,"September",2,11.8,-1,50
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2020,2020-10,"October",1,4.9,-1,100
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2020,2020-11,"November",4,21.6,0,50
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2020,2020-12,"December",9,44.1,-1,88.9
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2021,2021-01,"January",1,4.9,-2,100
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2021,2021-03,"March",1,4.9,-1,100
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2021,2021-05,"May",2,9.8,-1,100
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2021,2021-06,"June",5,24.5,-1.2,80
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2021,2021-07,"July",1,4.9,-1,100
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2021,2021-11,"November",1,4.9,-1,100
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2021,2021-12,"December",2,9.8,-1.5,100
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2022,2022-01,"January",1,4.9,1,0
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2022,2022-02,"February",1,4.9,-2,100
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2022,2022-04,"April",2,11.8,-1,100
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2022,2022-05,"May",2,9.8,-2,100
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2022,2022-06,"June",1,4.9,-1,100
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2022,2022-07,"July",1,4.9,-2,100
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2022,2022-11,"November",1,4.9,-1,100
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2022,2022-12,"December",2,9.8,-1.5,100
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2023,2023-01,"January",3,16.7,-2.3,100
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2023,2023-02,"February",1,4.9,-2,100
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2023,2023-03,"March",2,9.8,.5,50
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2023,2023-06,"June",1,4.9,-1,100
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2023,2023-07,"July",2,9.8,0,50
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2023,2023-08,"August",1,4.9,-2,100
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2023,2023-11,"November",1,4.9,-3,100
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2023,2023-12,"December",4,19.6,-.5,75
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2024,2024-02,"February",1,4.9,-2,100
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2024,2024-04,"April",5,30.5,-1.8,100
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2024,2024-05,"May",1,4.9,-3,100
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2024,2024-06,"June",2,11.8,-.5,100
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2024,2024-07,"July",1,4.9,1,0
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2024,2024-08,"August",3,14.7,-.3,66.7
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2024,2024-11,"November",2,11.8,-1,100
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2024,2024-12,"December",5,26.5,-1,100
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2025,2025-01,"January",2,9.8,-2,100
"BudgetFreight","ACTIVE","Ampang 88 Speedmart",2025,2025-02,"February",4,19.6,-1.5,100
