TIME_GRAIN,PERIOD_CODE,BRANCH_ID,BRANCH_NAME,CATEGORY_NAME,ITEM_ID,ITEM_NAME,TOTAL_SALES_QTY,TOTAL_PURCHASE_QTY,AVG_STOCK_ON_HAND,INVENTORY_TURNOVER_RATIO,CATEGORY_TURNOVER_RATIO,STOCK_EFFICIENCY_CATEGORY
Monthly,2020-01,"B001","Ampang 88 Speedmart","Alcoholic Beverages","I0112","Wain Merah 750ml",36,256,206,.17,.18,"Normal"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Alcoholic Beverages","I0113","Wain Putih 750ml",34,155,115,.3,.18,"Normal"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Alcoholic Beverages","I0114","Whisky 700ml",29,347,305,.1,.18,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Alcoholic Beverages","I0111","Bir 330ml",22,65,36,.61,.18,"Fast Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Baby Products","I0098","Pampers S 24pcs",32,328,291,.11,.06,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Baby Products","I0104","Botol Susu 250ml",29,391,361,.08,.06,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Baby Products","I0102","Minyak Bayi 100ml",28,718,684,.04,.06,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Baby Products","I0103","Sabun Bayi 250ml",23,606,578,.04,.06,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Baby Products","I0101","Bedak Bayi 150g",23,580,553,.04,.06,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Baby Products","I0097","Susu Formula 900g",20,238,208,.1,.06,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Baby Products","I0100","Makanan Bayi 120g",20,380,350,.06,.06,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Baby Products","I0099","Tisu Basah Baby 80pcs",11,113,94,.12,.06,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Beverages","I0037","Jus Oren 1L",39,145,101,.39,.14,"Normal"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Beverages","I0035","Minuman Isotonic 500ml",35,126,92,.38,.14,"Normal"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Beverages","I0044","Minuman Tenaga 250ml",29,430,397,.07,.14,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Beverages","I0039","Sprite 330ml",28,219,185,.15,.14,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Beverages","I0038","Kola 330ml",24,189,155,.15,.14,"Slow Moving"
