"PERIOD_TYPE","PERIOD_LABEL","PERIOD_YEAR","PERIOD_NUMBER","TOTAL_REVENUE","TOTAL_QUANTITY_SOLD","AVERAGE_ORDER_VALUE","SALES_GROWTH_PCT"
"MONTH","JAN-2020",2020,1,22302.22,3622,37.23,
"MONTH","FEB-2020",2020,2,16680.44,2782,38.52,
"MONTH","MAR-2020",2020,3,13431,2275,36.3,
"MONTH","APR-2020",2020,4,12595.08,2164,35.78,
"MONTH","MAY-2020",2020,5,20366.72,3587,35.36,
"MONTH","JUN-2020",2020,6,22427.66,3854,35.54,
"MONTH","JUL-2020",2020,7,18654.7,3186,35.26,
"MONTH","AUG-2020",2020,8,17284.86,2922,37.33,
"MONTH","SEP-2020",2020,9,13141.62,2324,34.49,
"MONTH","OCT-2020",2020,10,17961.25,2965,39.13,
"MONTH","NOV-2020",2020,11,24257.86,4305,33.88,
"MONTH","DEC-2020",2020,12,34978.92,5794,36.44,
"MONTH","JAN-2021",2021,1,18184.41,3082,35.45,-18.46
"MONTH","FEB-2021",2021,2,18862.05,3229,37.42,13.08
"MONTH","MAR-2021",2021,3,17174.28,2881,36.23,27.87
"MONTH","APR-2021",2021,4,15920.76,2675,36.77,26.4
"MONTH","MAY-2021",2021,5,22161.4,3637,38.01,8.81
"MONTH","JUN-2021",2021,6,23320.11,3913,36.27,3.98
"MONTH","JUL-2021",2021,7,17414.23,3025,35.61,-6.65
"MONTH","AUG-2021",2021,8,18541.84,3102,37.01,7.27
"MONTH","SEP-2021",2021,9,18297.31,3037,38.68,39.23
"MONTH","OCT-2021",2021,10,18385.04,3087,36.62,2.36
"MONTH","NOV-2021",2021,11,27221.05,4236,39.34,12.22
"MONTH","DEC-2021",2021,12,36868.84,6327,35.18,5.4
"MONTH","JAN-2022",2022,1,23070.44,4026,35.33,26.87
"MONTH","FEB-2022",2022,2,17431.83,2857,37.57,-7.58
"MONTH","MAR-2022",2022,3,17645.59,2808,37.54,2.74
"MONTH","APR-2022",2022,4,17554.58,3067,35.75,10.26
"MONTH","MAY-2022",2022,5,20571.68,3371,37.47,-7.17
"MONTH","JUN-2022",2022,6,24781.95,3974,38.36,6.27
"MONTH","JUL-2022",2022,7,19030.88,3306,35.77,9.28
"MONTH","AUG-2022",2022,8,21606.46,3381,41.23,16.53
"MONTH","SEP-2022",2022,9,19402.51,3088,40.01,6.04
"MONTH","OCT-2022",2022,10,23459.21,3609,42.35,27.6
"MONTH","NOV-2022",2022,11,27126.38,4240,38.1,-.35
"MONTH","DEC-2022",2022,12,42394.04,6854,38.23,14.99
"MONTH","JAN-2023",2023,1,31295.38,5015,40.07,35.65
"MONTH","FEB-2023",2023,2,16587.15,2851,35.75,-4.85
"MONTH","MAR-2023",2023,3,21709.62,3361,40.2,23.03
"MONTH","APR-2023",2023,4,22425.53,3667,38.33,27.75
"MONTH","MAY-2023",2023,5,21106.32,3354,39.09,2.6
"MONTH","JUN-2023",2023,6,28709.44,4724,37.88,15.85
"MONTH","JUL-2023",2023,7,22895.11,3649,38.54,20.31
"MONTH","AUG-2023",2023,8,20962.58,3328,39.63,-2.98
"MONTH","SEP-2023",2023,9,18353.74,3118,37.08,-5.41
"MONTH","OCT-2023",2023,10,22837.3,3443,42.69,-2.65
"MONTH","NOV-2023",2023,11,34148.87,5484,40.56,25.89
"MONTH","DEC-2023",2023,12,48747.44,7654,39.66,14.99
"MONTH","JAN-2024",2024,1,24217.27,4041,37.96,-22.62
"MONTH","FEB-2024",2024,2,24962.06,4074,38.23,50.49
"MONTH","MAR-2024",2024,3,22396.39,3462,38.82,3.16
"MONTH","APR-2024",2024,4,25060.82,3777,40.68,11.75
"MONTH","MAY-2024",2024,5,21608.79,3346,40.54,2.38
"MONTH","JUN-2024",2024,6,29308.65,4773,37.92,2.09
"MONTH","JUL-2024",2024,7,27282.8,4251,40,19.16
"MONTH","AUG-2024",2024,8,22472.57,3528,41.69,7.2
"MONTH","SEP-2024",2024,9,22907.15,3556,41.13,24.81
"MONTH","OCT-2024",2024,10,26750,3869,43.71,17.13
"MONTH","NOV-2024",2024,11,31937.45,5334,37.71,-6.48
"MONTH","DEC-2024",2024,12,52021.19,8258,38.19,6.72
"MONTH","JAN-2025",2025,1,32091.6,5108,38.43,32.52
"MONTH","FEB-2025",2025,2,22426.43,3514,39.41,-10.16
"MONTH","MAR-2025",2025,3,25661.52,4057,39.66,14.58
"MONTH","APR-2025",2025,4,22901.88,3705,39.76,-8.61
"MONTH","MAY-2025",2025,5,24603.63,3947,38.99,13.86
"MONTH","JUN-2025",2025,6,36531.01,5527,40.95,24.64
"MONTH","JUL-2025",2025,7,23137.5,3754,37.93,-15.19
"MONTH","AUG-2025",2025,8,25135.41,3968,38.14,11.85
"MONTH","SEP-2025",2025,9,23286.2,3630,40.78,1.65
"MONTH","OCT-2025",2025,10,24626.64,3860,39.47,-7.94
"MONTH","NOV-2025",2025,11,35957.5,5619,39.51,12.59
"MONTH","DEC-2025",2025,12,53657.33,8189,40.1,3.15
