====================================================================================================
SALES PERFORMANCE AND REVENUE ANALYSIS
====================================================================================================
Report Generated On : 22-AUG-2026 10:07:08
Reporting Period    : Year 2020 To Year 2025
Period Type         : MONTH
Included SO Status  : COMPLETED, OUT_FOR_DELIVERY, READY_FOR_PICKUP
----------------------------------------------------------------------------------------------------
PERIOD                   TOTAL_REVENUE         TOTAL_QTY           AVG_ORDER_VALUE      GROWTH %
----------------------------------------------------------------------------------------------------
JAN-2020                  RM 22,302.22             3,622                  RM 37.23           N/A
FEB-2020                  RM 16,680.44             2,782                  RM 38.52           N/A
MAR-2020                  RM 13,431.00             2,275                  RM 36.30           N/A
APR-2020                  RM 12,595.08             2,164                  RM 35.78           N/A
MAY-2020                  RM 20,366.72             3,587                  RM 35.36           N/A
JUN-2020                  RM 22,427.66             3,854                  RM 35.54           N/A
JUL-2020                  RM 18,654.70             3,186                  RM 35.26           N/A
AUG-2020                  RM 17,284.86             2,922                  RM 37.33           N/A
SEP-2020                  RM 13,141.62             2,324                  RM 34.49           N/A
OCT-2020                  RM 17,961.25             2,965                  RM 39.13           N/A
NOV-2020                  RM 24,257.86             4,305                  RM 33.88           N/A
DEC-2020                  RM 34,978.92             5,794                  RM 36.44           N/A
JAN-2021                  RM 18,184.41             3,082                  RM 35.45       -18.46%
FEB-2021                  RM 18,862.05             3,229                  RM 37.42        13.08%
MAR-2021                  RM 17,174.28             2,881                  RM 36.23        27.87%
APR-2021                  RM 15,920.76             2,675                  RM 36.77        26.40%
MAY-2021                  RM 22,161.40             3,637                  RM 38.01         8.81%
JUN-2021                  RM 23,320.11             3,913                  RM 36.27         3.98%
JUL-2021                  RM 17,414.23             3,025                  RM 35.61        -6.65%
AUG-2021                  RM 18,541.84             3,102                  RM 37.01         7.27%
SEP-2021                  RM 18,297.31             3,037                  RM 38.68        39.23%
OCT-2021                  RM 18,385.04             3,087                  RM 36.62         2.36%
NOV-2021                  RM 27,221.05             4,236                  RM 39.34        12.22%
DEC-2021                  RM 36,868.84             6,327                  RM 35.18         5.40%
JAN-2022                  RM 23,070.44             4,026                  RM 35.33        26.87%
FEB-2022                  RM 17,431.83             2,857                  RM 37.57        -7.58%
MAR-2022                  RM 17,645.59             2,808                  RM 37.54         2.74%
APR-2022                  RM 17,554.58             3,067                  RM 35.75        10.26%
MAY-2022                  RM 20,571.68             3,371                  RM 37.47        -7.17%
JUN-2022                  RM 24,781.95             3,974                  RM 38.36         6.27%
JUL-2022                  RM 19,030.88             3,306                  RM 35.77         9.28%
AUG-2022                  RM 21,606.46             3,381                  RM 41.23        16.53%
SEP-2022                  RM 19,402.51             3,088                  RM 40.01         6.04%
OCT-2022                  RM 23,459.21             3,609                  RM 42.35        27.60%
NOV-2022                  RM 27,126.38             4,240                  RM 38.10        -0.35%
DEC-2022                  RM 42,394.04             6,854                  RM 38.23        14.99%
JAN-2023                  RM 31,295.38             5,015                  RM 40.07        35.65%
FEB-2023                  RM 16,587.15             2,851                  RM 35.75        -4.85%
MAR-2023                  RM 21,709.62             3,361                  RM 40.20        23.03%
APR-2023                  RM 22,425.53             3,667                  RM 38.33        27.75%
MAY-2023                  RM 21,106.32             3,354                  RM 39.09         2.60%
JUN-2023                  RM 28,709.44             4,724                  RM 37.88        15.85%
JUL-2023                  RM 22,895.11             3,649                  RM 38.54        20.31%
AUG-2023                  RM 20,962.58             3,328                  RM 39.63        -2.98%
SEP-2023                  RM 18,353.74             3,118                  RM 37.08        -5.41%
OCT-2023                  RM 22,837.30             3,443                  RM 42.69        -2.65%
NOV-2023                  RM 34,148.87             5,484                  RM 40.56        25.89%
DEC-2023                  RM 48,747.44             7,654                  RM 39.66        14.99%
JAN-2024                  RM 24,217.27             4,041                  RM 37.96       -22.62%
FEB-2024                  RM 24,962.06             4,074                  RM 38.23        50.49%
MAR-2024                  RM 22,396.39             3,462                  RM 38.82         3.16%
APR-2024                  RM 25,060.82             3,777                  RM 40.68        11.75%
MAY-2024                  RM 21,608.79             3,346                  RM 40.54         2.38%
JUN-2024                  RM 29,308.65             4,773                  RM 37.92         2.09%
JUL-2024                  RM 27,282.80             4,251                  RM 40.00        19.16%
AUG-2024                  RM 22,472.57             3,528                  RM 41.69         7.20%
SEP-2024                  RM 22,907.15             3,556                  RM 41.13        24.81%
OCT-2024                  RM 26,750.00             3,869                  RM 43.71        17.13%
NOV-2024                  RM 31,937.45             5,334                  RM 37.71        -6.48%
DEC-2024                  RM 52,021.19             8,258                  RM 38.19         6.72%
JAN-2025                  RM 32,091.60             5,108                  RM 38.43        32.52%
FEB-2025                  RM 22,426.43             3,514                  RM 39.41       -10.16%
MAR-2025                  RM 25,661.52             4,057                  RM 39.66        14.58%
APR-2025                  RM 22,901.88             3,705                  RM 39.76        -8.61%
MAY-2025                  RM 24,603.63             3,947                  RM 38.99        13.86%
JUN-2025                  RM 36,531.01             5,527                  RM 40.95        24.64%
JUL-2025                  RM 23,137.50             3,754                  RM 37.93       -15.19%
AUG-2025                  RM 25,135.41             3,968                  RM 38.14        11.85%
SEP-2025                  RM 23,286.20             3,630                  RM 40.78         1.65%
OCT-2025                  RM 24,626.64             3,860                  RM 39.47        -7.94%
NOV-2025                  RM 35,957.50             5,619                  RM 39.51        12.59%
DEC-2025                  RM 53,657.33             8,189                  RM 40.10         3.15%
----------------------------------------------------------------------------------------------------
====================================================================================================
END OF REPORT
====================================================================================================
