"PERIOD_TYPE","PERIOD_LABEL","PERIOD_YEAR","PERIOD_NUMBER","TOTAL_REVENUE","TOTAL_QUANTITY_SOLD","AVERAGE_ORDER_VALUE","SALES_GROWTH_PCT"
"QUARTER","Q1-2020",2020,1,52413.66,8679,37.38,
"QUARTER","Q2-2020",2020,2,55389.46,9605,35.53,
"QUARTER","Q3-2020",2020,3,49081.18,8432,35.75,
"QUARTER","Q4-2020",2020,4,77198.03,13064,36.16,
"QUARTER","Q1-2021",2021,1,54220.74,9192,36.37,3.45
"QUARTER","Q2-2021",2021,2,61402.27,10225,37.01,10.86
"QUARTER","Q3-2021",2021,3,54253.38,9164,37.08,10.54
"QUARTER","Q4-2021",2021,4,82474.93,13650,36.79,6.84
"QUARTER","Q1-2022",2022,1,58147.86,9691,36.64,7.24
"QUARTER","Q2-2022",2022,2,62908.21,10412,37.31,2.45
"QUARTER","Q3-2022",2022,3,60039.85,9775,38.96,10.67
"QUARTER","Q4-2022",2022,4,92979.63,14703,39.15,12.74
"QUARTER","Q1-2023",2023,1,69592.15,11227,38.99,19.68
"QUARTER","Q2-2023",2023,2,72241.29,11745,38.36,14.84
"QUARTER","Q3-2023",2023,3,62211.43,10095,38.45,3.62
"QUARTER","Q4-2023",2023,4,105733.61,16581,40.57,13.72
"QUARTER","Q1-2024",2024,1,71575.72,11577,38.32,2.85
"QUARTER","Q2-2024",2024,2,75978.26,11896,39.53,5.17
"QUARTER","Q3-2024",2024,3,72662.52,11335,40.87,16.8
"QUARTER","Q4-2024",2024,4,110708.64,17461,39.24,4.71
"QUARTER","Q1-2025",2025,1,80179.55,12679,39.09,12.02
"QUARTER","Q2-2025",2025,2,84036.52,13179,40.04,10.61
"QUARTER","Q3-2025",2025,3,71559.11,11352,38.89,-1.52
"QUARTER","Q4-2025",2025,4,114241.47,17668,39.78,3.19
