CAL_DATE,BRANCH_NAME,CATEGORY_NAME,ITEM_NAME,QUANTITY_ON_HAND,IS_MYKASIH_ELIGIBLE,AVG_DAILY_SALES,DAYS_OF_SUPPLY,SUGGESTED_REORDER_POINT,SUGGESTED_MAX_LEVEL,STOCK_STATUS,ACTION_REQUIRED
2020-05-31,"Ampang 88 Speedmart","Rice and Grains","Quinoa 500g",342,Y,1.92,177.7,16,73,EXCESS,FREEZE PURCHASING
2020-04-30,"Ampang 88 Speedmart","Rice and Grains","Quinoa 500g",357,Y,1.92,185.5,16,73,EXCESS,FREEZE PURCHASING
2020-03-31,"Ampang 88 Speedmart","Rice and Grains","Quinoa 500g",365,Y,1.92,189.7,16,73,EXCESS,FREEZE PURCHASING
2020-02-29,"Ampang 88 Speedmart","Rice and Grains","Quinoa 500g",388,Y,1.92,201.6,16,73,EXCESS,FREEZE PURCHASING
2020-01-31,"Ampang 88 Speedmart","Rice and Grains","Quinoa 500g",414,Y,1.92,215.1,16,73,EXCESS,FREEZE PURCHASING
2020-04-30,"Ampang 88 Speedmart","Rice and Grains","Beras Perang 1kg",111,N,1.8,61.7,14,68,EXCESS,FREEZE PURCHASING
2020-03-31,"Ampang 88 Speedmart","Rice and Grains","Beras Perang 1kg",121,N,1.8,67.2,14,68,EXCESS,FREEZE PURCHASING
2020-02-29,"Ampang 88 Speedmart","Rice and Grains","Beras Perang 1kg",138,N,1.8,76.7,14,68,EXCESS,FREEZE PURCHASING
2020-01-31,"Ampang 88 Speedmart","Rice and Grains","Beras Perang 1kg",167,N,1.8,92.8,14,68,EXCESS,FREEZE PURCHASING
2020-04-30,"Ampang 88 Speedmart","Stationery and Daily Needs","Pensil 12pcs",54,N,2,27,17,76,NORMAL,MONITOR
2020-03-31,"Ampang 88 Speedmart","Stationery and Daily Needs","Pensil 12pcs",57,N,2,28.5,17,76,NORMAL,MONITOR
2020-02-29,"Ampang 88 Speedmart","Stationery and Daily Needs","Pensil 12pcs",69,N,2,34.5,17,76,NORMAL,MONITOR
2020-01-31,"Ampang 88 Speedmart","Stationery and Daily Needs","Pensil 12pcs",42,N,2,21,17,76,NORMAL,MONITOR
2020-01-31,"Ampang 88 Speedmart","Rice and Grains","Beras Pulut 1kg",42,N,1.78,23.6,14,68,NORMAL,MONITOR
2020-01-31,"Ampang 88 Speedmart","Frozen Food","Pizza Beku 400g",23,N,1.5,15.3,12,57,NORMAL,MONITOR
2020-02-29,"Ampang 88 Speedmart","Instant Food","Oat Segera 1kg",91,N,2,45.5,16,76,EXCESS,FREEZE PURCHASING
2020-01-31,"Ampang 88 Speedmart","Instant Food","Oat Segera 1kg",46,N,2,23,16,76,NORMAL,MONITOR
2020-03-31,"Ampang 88 Speedmart","Rice and Grains","Tepung Gandum 1kg",325,N,1.79,182,14,68,EXCESS,FREEZE PURCHASING
2020-02-29,"Ampang 88 Speedmart","Rice and Grains","Tepung Gandum 1kg",345,N,1.79,193.2,14,68,EXCESS,FREEZE PURCHASING
2020-01-31,"Ampang 88 Speedmart","Rice and Grains","Tepung Gandum 1kg",363,N,1.79,203.3,14,68,EXCESS,FREEZE PURCHASING
2020-03-31,"Ampang 88 Speedmart","Baby Products","Botol Susu 250ml",328,Y,1.96,167,16,75,EXCESS,FREEZE PURCHASING
2020-02-29,"Ampang 88 Speedmart","Baby Products","Botol Susu 250ml",342,Y,1.96,174.1,16,75,EXCESS,FREEZE PURCHASING
2020-01-31,"Ampang 88 Speedmart","Baby Products","Botol Susu 250ml",361,Y,1.96,183.8,16,75,EXCESS,FREEZE PURCHASING
2020-01-31,"Ampang 88 Speedmart","Cooking Essentials","Sos Tiram 300ml",209,N,2.19,95.4,18,83,EXCESS,FREEZE PURCHASING
2020-05-31,"Ampang 88 Speedmart","Beverages","Air Mineral 1.5L",116,N,1.79,64.7,15,68,EXCESS,FREEZE PURCHASING
2020-04-30,"Ampang 88 Speedmart","Beverages","Air Mineral 1.5L",120,N,1.79,66.9,15,68,EXCESS,FREEZE PURCHASING
2020-03-31,"Ampang 88 Speedmart","Beverages","Air Mineral 1.5L",120,N,1.79,66.9,15,68,EXCESS,FREEZE PURCHASING
2020-02-29,"Ampang 88 Speedmart","Beverages","Air Mineral 1.5L",141,N,1.79,78.6,15,68,EXCESS,FREEZE PURCHASING
2020-01-31,"Ampang 88 Speedmart","Beverages","Air Mineral 1.5L",163,N,1.79,90.9,15,68,EXCESS,FREEZE PURCHASING
2020-02-29,"Ampang 88 Speedmart","Snacks and Confectionery","Mochi 120g",59,N,2.16,27.3,18,82,NORMAL,MONITOR
2020-01-31,"Ampang 88 Speedmart","Snacks and Confectionery","Mochi 120g",39,N,2.16,18.1,18,82,NORMAL,MONITOR
2020-06-30,"Ampang 88 Speedmart","Dairy Products","Susu Segar 1L",141,N,1.66,85,14,63,EXCESS,FREEZE PURCHASING
2020-05-31,"Ampang 88 Speedmart","Dairy Products","Susu Segar 1L",149,N,1.66,89.8,14,63,EXCESS,FREEZE PURCHASING
2020-04-30,"Ampang 88 Speedmart","Dairy Products","Susu Segar 1L",58,N,1.66,35,14,63,NORMAL,MONITOR
2020-03-31,"Ampang 88 Speedmart","Dairy Products","Susu Segar 1L",68,N,1.66,41,14,63,EXCESS,FREEZE PURCHASING
2020-02-29,"Ampang 88 Speedmart","Dairy Products","Susu Segar 1L",91,N,1.66,54.9,14,63,EXCESS,FREEZE PURCHASING
2020-01-31,"Ampang 88 Speedmart","Dairy Products","Susu Segar 1L",107,N,1.66,64.5,14,63,EXCESS,FREEZE PURCHASING
2020-01-31,"Ampang 88 Speedmart","Rice and Grains","Oatmeal 1kg",236,N,1.55,152.7,12,59,EXCESS,FREEZE PURCHASING
2020-05-31,"Ampang 88 Speedmart","Canned and Packaged Food","Jagung Manis 425g",107,N,1.81,59.3,14,69,EXCESS,FREEZE PURCHASING
2020-04-30,"Ampang 88 Speedmart","Canned and Packaged Food","Jagung Manis 425g",37,N,1.81,20.5,14,69,NORMAL,MONITOR
2020-03-31,"Ampang 88 Speedmart","Canned and Packaged Food","Jagung Manis 425g",48,N,1.81,26.6,14,69,NORMAL,MONITOR
2020-02-29,"Ampang 88 Speedmart","Canned and Packaged Food","Jagung Manis 425g",59,N,1.81,32.7,14,69,NORMAL,MONITOR
2020-01-31,"Ampang 88 Speedmart","Canned and Packaged Food","Jagung Manis 425g",73,N,1.81,40.4,14,69,EXCESS,FREEZE PURCHASING
2020-01-31,"Ampang 88 Speedmart","Household Cleaning","Peluntur 1L",29,Y,1.67,17.4,13,63,NORMAL,MONITOR
2020-01-31,"Ampang 88 Speedmart","Personal Care","Deodorant 50ml",211,N,1.94,108.7,16,74,EXCESS,FREEZE PURCHASING
2020-06-30,"Ampang 88 Speedmart","Beverages","Milo 1kg",377,N,1.85,204,15,70,EXCESS,FREEZE PURCHASING
2020-05-31,"Ampang 88 Speedmart","Beverages","Milo 1kg",174,N,1.85,94.1,15,70,EXCESS,FREEZE PURCHASING
2020-04-30,"Ampang 88 Speedmart","Beverages","Milo 1kg",179,N,1.85,96.8,15,70,EXCESS,FREEZE PURCHASING
2020-03-31,"Ampang 88 Speedmart","Beverages","Milo 1kg",190,N,1.85,102.8,15,70,EXCESS,FREEZE PURCHASING
2020-02-29,"Ampang 88 Speedmart","Beverages","Milo 1kg",204,N,1.85,110.4,15,70,EXCESS,FREEZE PURCHASING
2020-01-31,"Ampang 88 Speedmart","Beverages","Milo 1kg",233,N,1.85,126,15,70,EXCESS,FREEZE PURCHASING
2020-06-30,"Ampang 88 Speedmart","Beverages","Kopi 3in1 10s",221,N,1.91,115.9,16,72,EXCESS,FREEZE PURCHASING
2020-05-31,"Ampang 88 Speedmart","Beverages","Kopi 3in1 10s",240,N,1.91,125.9,16,72,EXCESS,FREEZE PURCHASING
2020-04-30,"Ampang 88 Speedmart","Beverages","Kopi 3in1 10s",262,N,1.91,137.4,16,72,EXCESS,FREEZE PURCHASING
2020-03-31,"Ampang 88 Speedmart","Beverages","Kopi 3in1 10s",121,N,1.91,63.5,16,72,EXCESS,FREEZE PURCHASING
2020-02-29,"Ampang 88 Speedmart","Beverages","Kopi 3in1 10s",141,N,1.91,74,16,72,EXCESS,FREEZE PURCHASING
2020-03-31,"Ampang 88 Speedmart","Rice and Grains","Oatmeal 1kg",190,N,1.78,106.9,15,68,EXCESS,FREEZE PURCHASING
2020-02-29,"Ampang 88 Speedmart","Rice and Grains","Oatmeal 1kg",215,N,1.78,120.9,15,68,EXCESS,FREEZE PURCHASING
2020-04-30,"Ampang 88 Speedmart","Snacks and Confectionery","Mochi 120g",34,N,1.6,21.3,13,61,NORMAL,MONITOR
2020-03-31,"Ampang 88 Speedmart","Snacks and Confectionery","Mochi 120g",43,N,1.6,26.9,13,61,NORMAL,MONITOR
2020-04-30,"Cheras 88 Speedmart","Stationery and Daily Needs","Bateri AA 4pcs",15,N,1.38,10.9,12,52,NORMAL,MONITOR
2020-06-30,"Cheras 88 Speedmart","Cooking Essentials","Sos Cili 400ml",241,N,2,120.5,17,76,EXCESS,FREEZE PURCHASING
2020-05-31,"Cheras 88 Speedmart","Cooking Essentials","Sos Cili 400ml",247,N,2,123.5,17,76,EXCESS,FREEZE PURCHASING
2020-04-30,"Cheras 88 Speedmart","Cooking Essentials","Sos Cili 400ml",257,N,2,128.5,17,76,EXCESS,FREEZE PURCHASING
2020-04-30,"Cheras 88 Speedmart","Snacks and Confectionery","Coklat 100g",226,N,1.57,143.8,13,60,EXCESS,FREEZE PURCHASING
2020-04-30,"Cheras 88 Speedmart","Instant Food","Bihun Segera 60g",64,Y,1.75,36.6,14,67,NORMAL,MONITOR
2020-04-30,"Ampang 88 Speedmart","Frozen Food","Pizza Beku 400g",16,N,2.22,7.2,19,84,NORMAL,MONITOR
2020-06-30,"Ampang 88 Speedmart","Baby Products","Susu Formula 900g",128,N,1.92,66.8,15,73,EXCESS,FREEZE PURCHASING
2020-05-31,"Ampang 88 Speedmart","Baby Products","Susu Formula 900g",141,N,1.92,73.6,15,73,EXCESS,FREEZE PURCHASING
2020-06-30,"Cheras 88 Speedmart","Household Cleaning","Pewangi Pakaian 1L",62,N,1.8,34.4,15,68,NORMAL,MONITOR
2020-05-31,"Cheras 88 Speedmart","Household Cleaning","Pewangi Pakaian 1L",72,N,1.8,40,15,68,EXCESS,FREEZE PURCHASING
2020-04-30,"Cheras 88 Speedmart","Household Cleaning","Pewangi Pakaian 1L",90,N,1.8,50,15,68,EXCESS,FREEZE PURCHASING
