PERIOD_CODE,SUPPLIER_NAME,BRANCH_ID,BRANCH_NAME,TOTAL_ORDERS,COMPLETED_ORDERS,ONTIME_ORDERS,ON_TIME_DELIVERY_RATE,TOTAL_PURCHASE_VALUE,AVG_LEAD_TIME_DAYS,PERFORMANCE_RATING
2020-01,"Arctic Chill Logistics","B001","Ampang 88 Speedmart",1,1,1,100,8078.43,0,Excellent
2020-01,"Clean & Clear Resources","B001","Ampang 88 Speedmart",2,2,2,100,8909.97,1.1,Excellent
2020-01,"Dairy Fresh Sdn Bhd","B001","Ampang 88 Speedmart",3,3,3,100,8523.64,.2,Excellent
2020-01,"Dry Goods Trading Co","B001","Ampang 88 Speedmart",2,2,2,100,3191.06,5.3,Excellent
2020-01,"Farm to Table Sdn Bhd","B001","Ampang 88 Speedmart",1,1,1,100,2124.17,0,Excellent
2020-01,"Frozen Foods Malaysia","B001","Ampang 88 Speedmart",2,2,2,100,4601.71,.6,Excellent
2020-01,"Global Grocery Supply","B001","Ampang 88 Speedmart",1,1,1,100,11093.99,0,Excellent
2020-01,"Green Harvest Trading","B001","Ampang 88 Speedmart",5,5,5,100,20399.85,.7,Excellent
2020-01,"Home Essentials Enterprise","B001","Ampang 88 Speedmart",2,2,2,100,7450.7,0,Excellent
2020-01,"Nusa Kitchen Supplies","B001","Ampang 88 Speedmart",4,4,4,100,9060.82,1.2,Excellent
2020-01,"Sinar Padi Enterprise","B001","Ampang 88 Speedmart",4,4,4,100,7984.89,.4,Excellent
2020-02,"Arctic Chill Logistics","B001","Ampang 88 Speedmart",1,1,1,100,1585.94,14,Excellent
2020-02,"Dry Goods Trading Co","B001","Ampang 88 Speedmart",1,1,1,100,568.8,13,Excellent
2020-02,"Farm to Table Sdn Bhd","B001","Ampang 88 Speedmart",1,1,1,100,622.6,14,Excellent
2020-02,"Green Harvest Trading","B001","Ampang 88 Speedmart",1,1,1,100,1242.44,2,Excellent
2020-02,"Home Essentials Enterprise","B001","Ampang 88 Speedmart",1,1,1,100,1400.26,11,Excellent
2020-02,"Nusa Kitchen Supplies","B001","Ampang 88 Speedmart",2,2,2,100,2195.75,4.6,Excellent
2020-02,"Sinar Padi Enterprise","B001","Ampang 88 Speedmart",2,2,2,100,522.27,3.3,Excellent
2020-03,"Arctic Chill Logistics","B001","Ampang 88 Speedmart",1,1,1,100,3298.77,9,Excellent
2020-03,"Dairy Fresh Sdn Bhd","B001","Ampang 88 Speedmart",1,1,1,100,420.02,2,Excellent
2020-03,"Dry Goods Trading Co","B001","Ampang 88 Speedmart",2,2,2,100,1005.93,13.5,Excellent
2020-03,"Global Grocery Supply","B001","Ampang 88 Speedmart",1,1,1,100,732.2,6,Excellent
2020-03,"Green Harvest Trading","B001","Ampang 88 Speedmart",1,1,1,100,979.19,3,Excellent
2020-03,"Sinar Padi Enterprise","B001","Ampang 88 Speedmart",1,1,1,100,540.47,3,Excellent
2020-04,"Arctic Chill Logistics","B002","Cheras 88 Speedmart",1,1,1,100,2287.09,0,Excellent
2020-04,"Clean & Clear Resources","B002","Cheras 88 Speedmart",1,1,1,100,5814.68,0,Excellent
2020-04,"Dairy Fresh Sdn Bhd","B002","Cheras 88 Speedmart",2,2,2,100,6540.46,0,Excellent
2020-04,"Dry Goods Trading Co","B002","Cheras 88 Speedmart",1,1,1,100,1663.42,0,Excellent
2020-04,"Farm to Table Sdn Bhd","B002","Cheras 88 Speedmart",1,1,1,100,1898.35,0,Excellent
2020-04,"Frozen Foods Malaysia","B001","Ampang 88 Speedmart",2,2,2,100,1856.11,5.7,Excellent
2020-04,"Frozen Foods Malaysia","B002","Cheras 88 Speedmart",1,1,1,100,3534.55,0,Excellent
2020-04,"Global Grocery Supply","B002","Cheras 88 Speedmart",2,2,2,100,6275.91,0,Excellent
2020-04,"Green Harvest Trading","B002","Cheras 88 Speedmart",2,2,2,100,21404.99,.1,Excellent
2020-04,"Home Essentials Enterprise","B002","Cheras 88 Speedmart",2,2,2,100,14882.91,0,Excellent
2020-04,"Nusa Kitchen Supplies","B002","Cheras 88 Speedmart",2,2,2,100,5864.57,.4,Excellent
2020-04,"Sinar Padi Enterprise","B001","Ampang 88 Speedmart",1,1,1,100,154.57,2,Excellent
2020-04,"Sinar Padi Enterprise","B002","Cheras 88 Speedmart",3,3,3,100,5761.59,.1,Excellent
2020-05,"Farm to Table Sdn Bhd","B002","Cheras 88 Speedmart",2,2,2,100,592.56,12.4,Excellent
2020-05,"Frozen Foods Malaysia","B001","Ampang 88 Speedmart",1,1,1,100,4647.8,5,Excellent
2020-05,"Global Grocery Supply","B001","Ampang 88 Speedmart",1,1,1,100,584.19,8,Excellent
2020-05,"Global Grocery Supply","B002","Cheras 88 Speedmart",1,1,1,100,150.49,5,Excellent
2020-05,"Green Harvest Trading","B001","Ampang 88 Speedmart",2,2,2,100,4328.53,1.6,Excellent
2020-05,"Home Essentials Enterprise","B001","Ampang 88 Speedmart",1,1,1,100,549.1,11,Excellent
2020-05,"Nusa Kitchen Supplies","B001","Ampang 88 Speedmart",1,1,1,100,1189.94,4,Excellent
2020-05,"Nusa Kitchen Supplies","B002","Cheras 88 Speedmart",1,1,1,100,2544.58,5,Excellent
2020-05,"Sinar Padi Enterprise","B001","Ampang 88 Speedmart",1,1,1,100,823.61,4,Excellent
2020-05,"Sinar Padi Enterprise","B002","Cheras 88 Speedmart",1,1,1,100,191.78,3,Excellent
2020-06,"Arctic Chill Logistics","B002","Cheras 88 Speedmart",1,1,1,100,1093.69,12,Excellent
2020-06,"Dairy Fresh Sdn Bhd","B002","Cheras 88 Speedmart",1,1,1,100,112.33,3,Excellent
2020-06,"Dry Goods Trading Co","B002","Cheras 88 Speedmart",2,2,2,100,736.43,12.8,Excellent
2020-06,"Farm to Table Sdn Bhd","B002","Cheras 88 Speedmart",2,2,2,100,584.58,12.2,Excellent
2020-06,"Frozen Foods Malaysia","B001","Ampang 88 Speedmart",1,1,1,100,673.94,8,Excellent
2020-06,"Frozen Foods Malaysia","B002","Cheras 88 Speedmart",1,1,1,100,249.53,4,Excellent
2020-06,"Global Grocery Supply","B001","Ampang 88 Speedmart",1,1,1,100,2787.62,7,Excellent
2020-06,"Green Harvest Trading","B001","Ampang 88 Speedmart",1,1,1,100,992.64,4,Excellent
2020-06,"Green Harvest Trading","B002","Cheras 88 Speedmart",1,1,1,100,2204.17,3,Excellent
2020-06,"Home Essentials Enterprise","B001","Ampang 88 Speedmart",1,1,1,100,1101.01,14,Excellent
2020-06,"Sinar Padi Enterprise","B001","Ampang 88 Speedmart",2,2,2,100,2139.41,3,Excellent
2020-07,"Arctic Chill Logistics","B002","Cheras 88 Speedmart",1,1,1,100,1723.09,9,Excellent
