"PATTERN_TYPE","PERIOD_KEY","PERIOD_LABEL","SORT_ORDER","TOTAL_DAYS","SALES_AMOUNT_BEFORE_REFUNDS","REFUND_AMOUNT","NET_SALES","TOTAL_ORDERS","TOTAL_QUANTITY","PERCENT_OF_TOTAL_NET_SALES","AVG_DAILY_NET_SALES","SEASONAL_INDEX","SALES_LIFT_PCT"
"DAY_OF_WEEK",1,"Monday",1,313,241895.47,0,241895.47,6219,38925,13.81,772.83,.9673,
"DAY_OF_WEEK",2,"Tuesday",2,313,233997.5,0,233997.5,6125,38167,13.36,747.6,.9358,
"DAY_OF_WEEK",3,"Wednesday",3,314,248431.92,0,248431.92,6474,40141,14.19,791.18,.9903,
"DAY_OF_WEEK",4,"Thursday",4,313,231595.1,0,231595.1,6013,37247,13.22,739.92,.9262,
"DAY_OF_WEEK",5,"Friday",5,313,241039.09,0,241039.09,6240,38551,13.76,770.09,.9639,
"DAY_OF_WEEK",6,"Saturday",6,313,278663.9,0,278663.9,7257,45306,15.91,890.3,1.1144,
"DAY_OF_WEEK",7,"Sunday",7,313,275606.49,0,275606.49,7328,45050,15.74,880.53,1.1022,
"WEEKEND_WEEKDAY",1,"Weekday",1,1566,1196959.08,0,1196959.08,31071,193031,68.35,764.34,.9567,
"WEEKEND_WEEKDAY",2,"Weekend",2,626,554270.39,0,554270.39,14585,90356,31.65,885.42,1.1083,
"MONTH_OF_YEAR",1,"January",1,186,151161.32,0,151161.32,4019,24894,8.63,812.7,1.0172,
"MONTH_OF_YEAR",2,"February",2,170,116949.96,0,116949.96,3087,19307,6.68,687.94,.8611,
"MONTH_OF_YEAR",3,"March",3,186,118018.4,0,118018.4,3078,18844,6.74,634.51,.7942,
"MONTH_OF_YEAR",4,"April",4,180,116458.65,0,116458.65,3053,19055,6.65,646.99,.8098,
"MONTH_OF_YEAR",5,"May",5,186,130418.54,0,130418.54,3412,21242,7.45,701.17,.8777,
"MONTH_OF_YEAR",6,"June",6,180,165078.82,0,165078.82,4343,26765,9.43,917.1,1.1479,
"MONTH_OF_YEAR",7,"July",7,186,128415.22,0,128415.22,3436,21171,7.33,690.4,.8642,
"MONTH_OF_YEAR",8,"August",8,186,126003.72,0,126003.72,3215,20229,7.2,677.44,.8479,
"MONTH_OF_YEAR",9,"September",9,180,115388.53,0,115388.53,2962,18753,6.59,641.05,.8024,
"MONTH_OF_YEAR",10,"October",10,186,134019.44,0,134019.44,3286,20833,7.65,720.53,.9019,
"MONTH_OF_YEAR",11,"November",11,180,180649.11,0,180649.11,4719,29218,10.32,1003.61,1.2562,
"MONTH_OF_YEAR",12,"December",12,186,268667.76,0,268667.76,7046,43076,15.34,1444.45,1.808,
"YEAR_MONTH",202001,"2020-01",202001,31,22302.22,0,22302.22,599,3622,1.27,719.43,.9005,
"YEAR_MONTH",202002,"2020-02",202002,29,16680.44,0,16680.44,433,2782,.95,575.19,.72,
"YEAR_MONTH",202003,"2020-03",202003,31,13431,0,13431,370,2275,.77,433.26,.5423,
"YEAR_MONTH",202004,"2020-04",202004,30,12595.08,0,12595.08,352,2164,.72,419.84,.5255,
"YEAR_MONTH",202005,"2020-05",202005,31,20366.72,0,20366.72,576,3587,1.16,656.99,.8224,
"YEAR_MONTH",202006,"2020-06",202006,30,22427.66,0,22427.66,631,3854,1.28,747.59,.9358,
"YEAR_MONTH",202007,"2020-07",202007,31,18654.7,0,18654.7,529,3186,1.07,601.76,.7532,
"YEAR_MONTH",202008,"2020-08",202008,31,17284.86,0,17284.86,463,2922,.99,557.58,.6979,
"YEAR_MONTH",202009,"2020-09",202009,30,13141.62,0,13141.62,381,2324,.75,438.05,.5483,
"YEAR_MONTH",202010,"2020-10",202010,31,17961.25,0,17961.25,459,2965,1.03,579.4,.7252,
"YEAR_MONTH",202011,"2020-11",202011,30,24257.86,0,24257.86,716,4305,1.39,808.6,1.0121,
"YEAR_MONTH",202012,"2020-12",202012,31,34978.92,0,34978.92,960,5794,2,1128.35,1.4123,
"YEAR_MONTH",202101,"2021-01",202101,31,18184.41,0,18184.41,513,3082,1.04,586.59,.7342,
"YEAR_MONTH",202102,"2021-02",202102,28,18862.05,0,18862.05,504,3229,1.08,673.64,.8432,
"YEAR_MONTH",202103,"2021-03",202103,31,17174.28,0,17174.28,474,2881,.98,554.01,.6934,
"YEAR_MONTH",202104,"2021-04",202104,30,15920.76,0,15920.76,433,2675,.91,530.69,.6643,
"YEAR_MONTH",202105,"2021-05",202105,31,22161.4,0,22161.4,583,3637,1.27,714.88,.8948,
"YEAR_MONTH",202106,"2021-06",202106,30,23320.11,0,23320.11,643,3913,1.33,777.34,.973,
"YEAR_MONTH",202107,"2021-07",202107,31,17414.23,0,17414.23,489,3025,.99,561.75,.7031,
"YEAR_MONTH",202108,"2021-08",202108,31,18541.84,0,18541.84,501,3102,1.06,598.12,.7487,
"YEAR_MONTH",202109,"2021-09",202109,30,18297.31,0,18297.31,473,3037,1.04,609.91,.7634,
"YEAR_MONTH",202110,"2021-10",202110,31,18385.04,0,18385.04,502,3087,1.05,593.07,.7423,
"YEAR_MONTH",202111,"2021-11",202111,30,27221.05,0,27221.05,692,4236,1.55,907.37,1.1357,
"YEAR_MONTH",202112,"2021-12",202112,31,36868.84,0,36868.84,1048,6327,2.11,1189.32,1.4887,
"YEAR_MONTH",202201,"2022-01",202201,31,23070.44,0,23070.44,653,4026,1.32,744.21,.9315,
"YEAR_MONTH",202202,"2022-02",202202,28,17431.83,0,17431.83,464,2857,1,622.57,.7793,
"YEAR_MONTH",202203,"2022-03",202203,31,17645.59,0,17645.59,470,2808,1.01,569.21,.7125,
"YEAR_MONTH",202204,"2022-04",202204,30,17554.58,0,17554.58,491,3067,1,585.15,.7324,
"YEAR_MONTH",202205,"2022-05",202205,31,20571.68,0,20571.68,549,3371,1.17,663.6,.8306,
"YEAR_MONTH",202206,"2022-06",202206,30,24781.95,0,24781.95,646,3974,1.42,826.07,1.034,
